cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
4a0ffd13-aba3-47f1-8516-4926155b9321,2025-04-10 17:05:05.655816+00:00,meta,llama4-scout,0,4223,281,1,6,7,5,8,2,4,3
11b60610-e379-465e-a232-870e9577cd58,2025-04-10 17:05:10.505150+00:00,meta,llama4-scout,0,4221,279,2,6,5,1,8,3,4,7
66d8615c-1e41-4642-8e95-4ec3c000e1bb,2025-04-10 17:05:15.618345+00:00,meta,llama4-scout,0,4223,283,3,7,5,1,4,2,8,6
f6d482d7-f113-47dc-b0a5-a1efe56416c9,2025-04-10 17:05:20.438031+00:00,meta,llama4-scout,0,4223,282,4,1,3,6,8,2,7,5
d588f125-4fab-4c82-b09f-5d2e92c08441,2025-04-10 17:05:25.242553+00:00,meta,llama4-scout,0,4223,279,5,7,6,2,8,1,3,4
c576986b-5274-4a7f-bc43-97ec277afe3b,2025-04-10 17:05:29.967452+00:00,meta,llama4-scout,0,4223,286,2,3,1,6,8,4,5,7
08256d5f-ad93-4b79-9534-1caa9e43bd8b,2025-04-10 17:05:34.773087+00:00,meta,llama4-scout,0,4223,282,5,6,3,4,8,1,2,7
1f807334-fe6f-463c-9ed1-b961260ae89a,2025-04-10 17:05:39.405290+00:00,meta,llama4-scout,0,4223,280,5,2,6,1,7,3,8,4
c1b947ec-88fb-4f6b-8612-400974283fdb,2025-04-10 17:05:44.243471+00:00,meta,llama4-scout,0,4223,280,5,2,3,4,8,6,7,1
fb697632-6190-487c-ae06-8ce37897507c,2025-04-10 17:05:48.999539+00:00,meta,llama4-scout,0,4223,285,2,6,1,4,7,8,5,3
dca9d314-a9b1-480c-be85-b9d48f7095f8,2025-04-10 17:05:53.614571+00:00,meta,llama4-scout,0,4223,281,5,7,4,2,6,1,8,3
04739a09-e061-4e37-94d7-4b56390cfe42,2025-04-10 17:05:58.153002+00:00,meta,llama4-scout,0,4223,278,6,5,4,1,7,3,8,2
d3b1d116-cbba-4dd4-9aa6-b37801dc3d76,2025-04-10 17:06:02.961371+00:00,meta,llama4-scout,0,4223,286,3,7,1,8,6,2,4,5
993d19a5-0fc6-4fc4-8cb6-c41b20756a8d,2025-04-10 17:06:07.541178+00:00,meta,llama4-scout,0,4221,283,5,3,7,4,6,1,8,2
3a79bef8-6df7-4f4d-8063-93786ed3a0f0,2025-04-10 17:06:12.030869+00:00,meta,llama4-scout,0,4223,283,5,7,3,1,6,2,4,8
45cef23c-6075-4951-831d-12897df376e5,2025-04-10 17:06:17.061470+00:00,meta,llama4-scout,0,4221,283,4,5,2,3,8,1,6,7
cc3bd390-36a6-4c86-883a-5700ba1a99c5,2025-04-10 17:06:22.113470+00:00,meta,llama4-scout,0,4223,277,5,7,4,1,8,3,2,6
