cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,"P2. Policies that emphasise fewer regulations (e.g., policies that promote free trade agreements by reducing food regulation)","P3. Policies that involve a moderate sustainable regulations (e.g., banning certain types of pesticides, incentivising organic agriculture)","P4. Policies that involve a radical sustainable food regulation (e.g., banning all pesticides, banning the importation of food related product that employ non-sustanable approaches, exclusively incentivising organic agriculture)","P5. Policies that create incentives for local producers to produce sustainable food (e.g., subsidies or tax breaks for local farmers who produce organic products)",P6. Adaptation policies and expenditure. Planning controls and emergency response programs.,P7. Preparing for climate risk for food production through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
0ba31203-4fbb-46c7-854e-4cfe34f2324e,2025-04-14 14:29:56.547842+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,3710,7,5,3,1,2,4,6
00e6fd73-da25-4e3d-a99f-368fca207abd,2025-04-14 16:42:28.397845+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4672,2,1,7,3,6,4,5
6fedbbfb-ea4d-4752-a572-7dfcab46b450,2025-04-14 16:43:20.357808+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,5245,7,6,1,5,2,4,3
7c4331cb-49d6-4c97-86ea-6dc6a24b4cbe,2025-04-14 16:44:21.836964+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4927,3,1,6,4,7,2,5
6f6bb7ee-394b-4c7c-acbd-099f81eb174c,2025-04-14 16:45:17.788969+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,6867,3,2,5,1,6,4,7
c6e57d69-8a53-4642-97b9-745c7f577cb6,2025-04-14 16:46:34.813810+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4427,7,6,5,3,2,4,1
4c0071a5-34db-432c-bfb6-171e09d30d83,2025-04-14 16:47:26.230931+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4912,2,1,6,3,4,7,5
e84ea904-436d-49da-a534-79cfe1244e3e,2025-04-14 16:48:22.542979+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4850,6,7,2,5,1,3,4
4a7082cc-f8a3-4f4f-943f-dce25f5b2171,2025-04-14 16:49:14.363172+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4569,6,7,2,3,1,4,5
8fd2b3db-82ae-41f1-9754-d8f0a388030e,2025-04-14 16:50:03.726288+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,5723,7,6,1,3,2,4,5
506d58f9-a3cf-49cd-a0b6-9dbd94aa1b04,2025-04-14 16:51:08.018243+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,6275,6,7,3,2,1,4,5
44fc0df9-4352-4a5a-ae34-459a30c479b2,2025-04-14 19:56:49.700442+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4856,7,6,2,5,1,4,3
f2498180-7c45-4346-9e22-9815ec973b37,2025-04-14 19:57:41.773203+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,5335,7,6,1,5,2,3,4
07fbc1e1-670e-415c-9772-7879b1909e1d,2025-04-14 19:58:36.442202+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4927,3,1,6,4,7,2,5
fe83461e-673e-4af5-bd7a-03dbbad52762,2025-04-14 19:59:28.020184+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,5771,3,2,5,1,6,4,7
8335ffac-b792-406c-8e4c-6b4c86839541,2025-04-17 11:25:06.881897+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,3710,7,5,3,1,2,4,6
6453029a-1866-4e01-93f2-6bbc179738c8,2025-04-17 11:25:50.398069+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,5030,6,7,2,5,1,3,4
5e1a5d11-dc33-441e-a75e-a79cf6202e91,2025-04-17 11:26:39.265600+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4892,7,6,2,4,1,3,5
41f899ef-94bc-4edd-85b0-549e5e0b0117,2025-04-17 11:27:31.036498+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4375,7,6,2,3,1,4,5
f8c15a94-63f0-4b35-9e83-f86e35320c14,2025-04-17 11:28:18.602897+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4754,7,6,3,2,1,4,5
6c35e6ad-c2fa-4fe8-bcbb-e80a0795a4ea,2025-04-17 11:29:06.168962+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4811,7,6,2,3,1,4,5
51aa21c2-2d9d-464d-9bca-0bf78f60b176,2025-04-17 11:29:52.560140+00:00,google,gemini-2.5-pro-preview-03-25,0,4486,4104,6,5,2,7,1,3,4
