cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Management that favors aggressive reduction of hazardous fuels,P2. Management that favors thinning treatments to realize economic gain.,"P3. Management that favors treatments to restore structure, function and composition of the forest to presettlement conditions, and allowing the introduction of fire as a natural disturbance.",P4. No fire or fuels management. Leaving the forests as they stand without active management.,P5. Management that favors local-based harvesting for fuel and timber needs.,P6. Management that favors the protection of wildlife and wildlife habitat.,"P7. Management that prioritizes the location and level of treatments favoring both ecological and social values (i.e. wildlife, watersheds, community protection, special cultural places)."
37711b09-f0b3-4a09-b067-d4f25a248bf9,2025-03-25 11:10:05.149123+00:00,mistralai,ministral-3b-latest,0,4820,324,1,3,2,7,6,5,4
0d956d62-8697-4be4-a9a8-d436621383d5,2025-03-25 11:10:17.320072+00:00,mistralai,ministral-3b-latest,0,4822,339,7,3,2,6,1,4,5
eb18e0d2-2207-4428-9871-cb33866564a2,2025-03-25 11:10:28.487708+00:00,mistralai,ministral-3b-latest,0,4840,345,1,3,6,7,4,5,2
2d2f95d2-51dd-4219-92d7-7820b3e13f22,2025-03-25 11:10:40.988504+00:00,mistralai,ministral-3b-latest,0,4822,370,3,6,2,1,5,7,4
23e9bf03-0c47-42dc-8952-ad5b2dfaa38e,2025-03-25 11:10:53.131850+00:00,mistralai,ministral-3b-latest,0,4884,389,3,7,1,6,5,2,4
141b7af4-672f-4962-bd9c-e1673c9b4d78,2025-04-01 12:04:47.232918+00:00,mistralai,ministral-3b-latest,0,4820,327,1,3,2,7,6,5,4
31d96eeb-87dc-4824-afab-efdc1e69462a,2025-04-01 12:05:01.514449+00:00,mistralai,ministral-3b-latest,0,4826,340,5,3,2,6,1,7,4
3615339c-28b6-4244-b4c8-4cc362f614ff,2025-04-01 12:05:14.301703+00:00,mistralai,ministral-3b-latest,0,4840,348,1,3,6,7,4,5,2
fe8420be-ddf2-4ccb-bb22-51d679d294a2,2025-04-01 12:05:19.845986+00:00,mistralai,ministral-3b-latest,0,4822,372,3,6,2,1,5,7,4
85eb3833-1506-40f2-a390-23cf887d38aa,2025-04-01 12:05:26.603469+00:00,mistralai,ministral-3b-latest,0,4884,392,3,7,1,6,5,2,4
98b7ff5d-5df0-4f74-a357-363dfff1d5e5,2025-04-02 14:45:59.057729+00:00,mistralai,ministral-3b-latest,0,4860,354,1,5,3,7,4,6,2
0f2be67c-7143-4d33-982e-8fef92cd35b5,2025-04-02 14:46:04.415762+00:00,mistralai,ministral-3b-latest,0,4828,332,4,5,1,6,7,2,3
bc997767-a8d9-46c2-ac7f-6a7819d1b2aa,2025-04-02 14:46:10.800871+00:00,mistralai,ministral-3b-latest,0,4820,373,4,6,2,1,7,3,5
ca7fde61-3228-4f2c-81b0-fef12877c616,2025-04-02 14:46:20.734196+00:00,mistralai,ministral-3b-latest,0,4872,355,5,4,6,7,3,2,1
9039fa49-9d4a-4c67-afb4-23d0f06f3b17,2025-04-02 14:46:29.248876+00:00,mistralai,ministral-3b-latest,0,4870,356,1,4,2,7,6,5,3
de1b3ef1-f416-4db9-bc3c-3d3f3548e77f,2025-04-02 14:46:36.874902+00:00,mistralai,ministral-3b-latest,0,4832,339,4,3,5,7,2,1,6
43e4cd45-56e8-46de-9fbf-fc5931bbdbc4,2025-04-02 14:46:43.480024+00:00,mistralai,ministral-3b-latest,0,4892,391,7,5,3,2,4,1,6
79a717e2-337b-430d-8fa6-5d987491bd1c,2025-04-02 14:46:55.299155+00:00,mistralai,ministral-3b-latest,0,4848,364,1,6,3,7,5,4,2
8307c9eb-1b17-40a8-8ef2-79409c17bc23,2025-04-02 14:47:00.979595+00:00,mistralai,ministral-3b-latest,0,4844,454,2,6,1,3,7,5,4
197d7c07-7a53-4a9c-8273-380b55ed3d9a,2025-04-02 14:47:12.202888+00:00,mistralai,ministral-3b-latest,0,4826,357,5,1,3,7,6,2,4
1e0b1621-6608-4881-8344-b640de7cf413,2025-04-02 14:47:21.349419+00:00,mistralai,ministral-3b-latest,0,4828,361,5,1,4,7,2,3,6
eb3ba21b-3a60-45e8-bd68-63a1d7dbd3db,2025-04-02 14:47:27.549726+00:00,mistralai,ministral-3b-latest,0,4836,346,1,3,4,7,5,6,2
7216e792-890c-4c39-8bcc-26e88a43b072,2025-04-02 14:47:36.018587+00:00,mistralai,ministral-3b-latest,0,4838,369,3,1,4,7,6,5,2
8d27bc4a-1154-46f0-ac2c-de35c92b52d2,2025-04-02 14:47:41.440267+00:00,mistralai,ministral-3b-latest,0,4830,366,6,4,5,7,3,2,1
eb4db545-274b-4e4b-bb8c-653b99f373ca,2025-04-02 14:47:46.096721+00:00,mistralai,ministral-3b-latest,0,4844,365,4,3,1,7,5,6,2
2c5a52be-5d47-458f-8b07-a7dbebd4744e,2025-04-02 14:47:56.477823+00:00,mistralai,ministral-3b-latest,0,4826,322,6,5,3,7,1,4,2
e5b5b251-75fd-4c41-8bb0-e4d726711b74,2025-04-02 14:47:59.653930+00:00,mistralai,ministral-3b-latest,0,4810,315,4,6,3,7,2,1,5
70a9289d-3607-421f-902f-4a4edf293fee,2025-04-02 14:48:07.717765+00:00,mistralai,ministral-3b-latest,0,4834,328,1,4,5,7,3,6,2
801a0bf4-624f-4ba0-9161-dbc0f2b24f85,2025-04-02 14:48:12.523480+00:00,mistralai,ministral-3b-latest,0,4812,330,6,2,5,7,3,4,1
130ed4e6-a2c5-41c9-91ae-9f38486dd55a,2025-04-02 14:48:16.784963+00:00,mistralai,ministral-3b-latest,0,4842,347,4,6,5,7,2,3,1
