cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
1db83287-1282-4848-bb56-f354a1bd87d0,2025-04-03 07:01:15.473855+00:00,google,gemma,0,0,0,7,6,1,5,3,4,2
e83874d2-d70c-4bc8-9ba7-9e1540739213,2025-04-03 07:01:33.001347+00:00,google,gemma,0,0,0,5,7,1,6,3,2,4
0f025065-cb4c-4709-a227-4f5797a75f87,2025-04-03 07:01:50.446910+00:00,google,gemma,0,0,0,7,6,4,3,2,1,5
969b1cb9-5d66-43e9-a573-cf795a4b058b,2025-04-03 07:02:08.052636+00:00,google,gemma,0,0,0,1,7,4,6,2,5,3
ecf8245f-bea6-406e-8d5b-2f4c7b5578b3,2025-04-03 07:02:25.661167+00:00,google,gemma,0,0,0,5,7,2,3,4,6,1
0fe118e3-c8d1-470d-b29c-24a609285410,2025-04-03 07:02:43.336675+00:00,google,gemma,0,0,0,5,7,3,2,4,1,6
50968645-620d-49e0-95f9-57fe3d314fa4,2025-04-03 07:03:00.932303+00:00,google,gemma,0,0,0,5,7,4,3,6,1,2
094864e5-88e3-4cf6-806e-94bf6a18e42b,2025-04-03 07:03:18.948250+00:00,google,gemma,0,0,0,2,7,1,5,6,3,4
63287b00-4c4b-4e5e-a640-60b12969d27f,2025-04-03 07:03:35.941637+00:00,google,gemma,0,0,0,6,5,3,2,7,4,1
1bd6d9f6-616c-442d-8481-26f404924173,2025-04-03 07:03:53.174441+00:00,google,gemma,0,0,0,1,4,2,3,6,5,7
bfb698d8-602a-47fd-95a7-3e095c5296ec,2025-04-03 08:19:25.863518+00:00,google,gemma,0,0,0,5,7,2,3,4,1,6
eafa2e12-a8db-4213-bc65-95bfba9da824,2025-04-03 08:19:43.453035+00:00,google,gemma,0,0,0,6,7,3,5,4,2,1
38562479-b9e4-4cde-b606-c04ee08cfa7b,2025-04-03 08:20:01.541776+00:00,google,gemma,0,0,0,4,2,7,1,5,6,3
a4d45827-6351-4655-8ceb-7aaba75bd901,2025-04-03 08:20:18.887593+00:00,google,gemma,0,0,0,4,7,6,5,3,1,2
ff6057b1-0c87-417e-92a3-b250d3cc03c7,2025-04-03 08:20:36.063366+00:00,google,gemma,0,0,0,7,6,2,3,1,4,5
2953e9b1-8504-469d-9d5f-5400fd8e6239,2025-04-03 08:20:53.067573+00:00,google,gemma,0,0,0,7,6,1,2,4,3,5
0b943eeb-a9b3-4cf9-87e4-20a8c40bf365,2025-04-03 08:21:11.593524+00:00,google,gemma,0,0,0,5,7,4,3,6,2,1
bf3714a4-c279-41f3-b4ad-ac8d1d1a1e00,2025-04-03 08:21:29.036471+00:00,google,gemma,0,0,0,7,6,3,5,1,2,4
fa4ebf97-965f-4c04-a6d4-77ed35127d55,2025-04-03 08:21:46.102850+00:00,google,gemma,0,0,0,1,5,7,6,3,4,2
8ce12f3e-1c84-40a8-b48a-67fa0ede6175,2025-04-03 08:22:03.293756+00:00,google,gemma,0,0,0,3,7,2,5,1,6,4
88c500ce-206f-4f0b-9900-c0404c22ef52,2025-04-03 08:22:19.990249+00:00,google,gemma,0,0,0,7,5,6,1,4,3,2
03f253ba-0f6b-4c1f-b82b-5fb2b8e8c810,2025-04-03 08:22:36.966490+00:00,google,gemma,0,0,0,7,5,6,4,3,1,2
b4bf6031-2245-4ecf-86fe-134b42bb3049,2025-04-03 08:22:54.833035+00:00,google,gemma,0,0,0,6,1,7,3,4,5,2
374eb396-9c08-48e2-a232-8df8efcba76d,2025-04-03 08:23:12.239544+00:00,google,gemma,0,0,0,7,6,5,2,4,3,1
663f2058-4ccd-4582-a2de-8b4354e21c8a,2025-04-03 08:23:29.632459+00:00,google,gemma,0,0,0,7,2,6,1,5,4,3
7bc0ca26-b908-48b0-b9c5-da00eaa58475,2025-04-03 08:23:47.160591+00:00,google,gemma,0,0,0,6,7,1,3,4,5,2
27ad08fb-9a5f-453d-a9a8-511e1f3e2af0,2025-04-03 08:24:05.136776+00:00,google,gemma,0,0,0,1,4,3,6,5,7,2
521c083d-3d35-441a-b97a-27a50a339e93,2025-04-03 08:24:21.795286+00:00,google,gemma,0,0,0,4,7,2,3,1,5,6
ae1af67a-783b-44b2-b24a-1afd87d8ba5c,2025-04-03 08:24:38.726367+00:00,google,gemma,0,0,0,4,7,5,6,2,3,1
61beab89-1c2a-403f-bd7e-e30c090eded8,2025-04-03 08:25:12.590016+00:00,google,gemma,0,0,0,5,7,6,2,3,1,4
bf02a00a-9ed2-4668-9b55-3ae20fcfaa36,2025-04-03 08:25:29.329557+00:00,google,gemma,0,0,0,7,5,1,4,3,2,6
