cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
2708e1a9-6c14-4fee-8e18-6b9fd5904c31,2025-03-27 16:40:18.665271+00:00,qwen,qwen-turbo,0,4467,313,6,4,3,7,2,1,8,5
c9b1b2ff-2e27-4769-9452-a77293fd2dc3,2025-03-27 16:40:24.192493+00:00,qwen,qwen-turbo,0,4467,318,7,4,6,1,5,3,8,2
cf902972-2ac1-4a43-92f9-7dae888b08a8,2025-03-27 19:44:53.958467+00:00,qwen,qwen-turbo,0,4467,318,3,8,1,2,7,4,6,5
16ac10a5-f693-46b4-b30c-b0f16ed7d79b,2025-03-27 19:44:59.446771+00:00,qwen,qwen-turbo,0,4467,316,1,4,5,3,8,2,6,7
d2e9665d-2ff9-4821-81a2-a1234769865b,2025-03-27 19:45:05.052705+00:00,qwen,qwen-turbo,0,4467,314,8,6,4,5,2,1,7,3
51e65b93-9653-441e-a9a1-fec04dc45f5e,2025-03-27 19:45:10.575312+00:00,qwen,qwen-turbo,0,4467,315,8,2,3,4,5,6,7,1
839335c0-059a-40f8-832b-1a848fbd77fd,2025-03-27 19:45:16.203256+00:00,qwen,qwen-turbo,0,4467,314,5,6,4,7,2,1,8,3
63200680-ed56-4eb2-be03-9c474be2be19,2025-03-27 19:45:21.648809+00:00,qwen,qwen-turbo,0,4467,316,8,7,6,2,4,1,3,5
ade8cba0-b796-4d26-8782-74959f92b065,2025-03-27 19:45:27.163966+00:00,qwen,qwen-turbo,0,4465,312,1,5,2,3,8,4,7,6
5b398d3c-f5bc-4faf-a006-0d7d16a789a1,2025-03-27 19:45:32.560964+00:00,qwen,qwen-turbo,0,4467,318,7,2,4,3,5,1,6,8
b075cc04-16e7-4971-9be8-e3508d7a509e,2025-03-27 19:45:38.118138+00:00,qwen,qwen-turbo,0,4467,313,7,5,1,4,6,3,8,2
79ffa4e7-2076-4ee6-a8f0-b55aada18576,2025-03-27 19:45:43.586948+00:00,qwen,qwen-turbo,0,4467,309,6,2,3,5,1,4,8,7
3ba51632-500e-4119-8679-049dba4b94f4,2025-03-27 19:45:49.181551+00:00,qwen,qwen-turbo,0,4467,315,2,3,1,5,6,4,8,7
847df93e-88e6-4b9c-83aa-513e16bdb483,2025-03-27 19:45:54.705914+00:00,qwen,qwen-turbo,0,4467,317,8,4,6,1,3,5,7,2
8572fe20-0a52-494f-bbaf-9f53b40f08b9,2025-03-27 19:46:00.080736+00:00,qwen,qwen-turbo,0,4467,1641,7,3,6,1,5,2,8,4
704e0964-ad36-404e-88dc-cbdb32b0fd8c,2025-03-27 19:46:17.451480+00:00,qwen,qwen-turbo,0,4467,318,4,5,6,2,7,3,8,1
7184cfc7-e2e6-4c04-aa7c-50cdee4c82e4,2025-03-27 19:46:23.090667+00:00,qwen,qwen-turbo,0,4467,319,5,4,2,6,3,1,8,7
f727a946-662a-456c-95be-ae88c842d793,2025-03-27 19:46:28.665465+00:00,qwen,qwen-turbo,0,4467,315,5,3,6,7,8,4,1,2
5af18599-2c58-4850-8dd4-c2d7463d578a,2025-03-27 19:46:34.056576+00:00,qwen,qwen-turbo,0,4467,319,7,2,4,6,1,5,8,3
e010a9fc-e35e-49a3-a1d5-adda8ec906d8,2025-03-27 19:46:39.663848+00:00,qwen,qwen-turbo,0,4465,316,4,5,6,2,7,1,8,3
7d45155c-b81c-46ee-acb5-fa957ec05433,2025-03-27 19:46:44.996505+00:00,qwen,qwen-turbo,0,4467,315,5,6,2,4,8,1,3,7
56c13e2b-1cc7-4b7f-9467-7c63e0ebcb66,2025-03-27 19:46:50.337670+00:00,qwen,qwen-turbo,0,4465,311,3,6,2,4,8,1,7,5
c8265d87-a074-4902-99f8-ca6685e6887c,2025-03-27 19:46:55.682961+00:00,qwen,qwen-turbo,0,4467,310,5,2,6,4,8,1,3,7
471cd546-0b97-4e6e-9b6d-bb41f1bc2bad,2025-03-27 19:47:01.153324+00:00,qwen,qwen-turbo,0,4467,317,8,3,2,5,7,1,6,4
56296af1-81ad-4548-8396-df0b746865ad,2025-03-27 19:47:07.197627+00:00,qwen,qwen-turbo,0,4467,323,6,2,3,4,1,7,8,5
68501deb-29b5-4654-a0ed-de6ca9240312,2025-03-27 19:47:12.720718+00:00,qwen,qwen-turbo,0,4467,326,7,6,3,4,5,1,8,2
229666c9-1325-4b59-ae08-571b1df0e760,2025-03-27 19:47:18.379581+00:00,qwen,qwen-turbo,0,4467,313,8,7,6,4,1,5,3,2
b67de442-d0a1-43d7-b978-efcdab450e2d,2025-03-27 19:47:24.206028+00:00,qwen,qwen-turbo,0,4464,312,6,5,4,2,7,1,8,3
b50ce5ea-b698-40d1-bfd7-c55e0a257d08,2025-03-27 19:47:29.649301+00:00,qwen,qwen-turbo,0,4443,294,5,1,8,3,2,7,6,4
b2ee5234-f773-4b4c-a56d-2f7af888e4ee,2025-03-27 19:47:34.824591+00:00,qwen,qwen-turbo,0,4467,323,7,3,5,2,8,1,4,6
