cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
6abd9285-0fd0-4ab8-a03c-1bc1c2ee973b,2025-03-20 11:03:29.539096+00:00,google,gemini-2.0-flash,0,4955,334,3,9,7,4,6,5,2,1,8
9db4cb08-c50a-410e-b1f0-0217aafa5c0a,2025-03-20 11:03:34.036740+00:00,google,gemini-2.0-flash,0,4951,337,8,4,6,7,1,5,3,2,9
b4797beb-b8fe-45d2-8e14-cd072c717673,2025-03-20 11:03:39.110184+00:00,google,gemini-2.0-flash,0,4947,333,8,9,7,2,3,5,1,6,4
8f6974bc-bd59-4723-9e8c-edc554e8222a,2025-03-20 11:03:44.298128+00:00,google,gemini-2.0-flash,0,4951,330,3,4,1,5,8,7,2,6,9
2d7d1a13-dbe8-46ff-aa4f-c29cc90ab187,2025-03-20 11:03:49.321862+00:00,google,gemini-2.0-flash,0,4949,326,1,4,3,7,5,6,2,8,9
ae67b3da-7237-47d4-ac81-a145361c4a7e,2025-03-20 11:03:54.239058+00:00,google,gemini-2.0-flash,0,4947,330,1,6,8,5,4,2,3,7,9
76b924e7-09f7-4c7a-b416-7b4745a86bca,2025-03-20 11:03:58.818206+00:00,google,gemini-2.0-flash,0,4951,333,3,4,5,6,7,2,1,8,9
1b6336c4-a537-40bc-89a6-621707c0a52b,2025-03-20 11:04:03.832993+00:00,google,gemini-2.0-flash,0,4945,328,7,6,1,2,4,5,3,9,8
7c6cddf8-0de7-4269-ba22-011ca174be85,2025-03-20 11:04:08.698686+00:00,google,gemini-2.0-flash,0,4943,325,2,8,5,7,1,6,3,4,9
ab1204e2-4f6f-4b71-bef4-7b66cf0192f4,2025-03-20 11:04:13.524656+00:00,google,gemini-2.0-flash,0,4949,331,2,4,6,5,7,8,1,3,9
d8757101-ff15-47c6-971d-324302bd0aa2,2025-03-25 13:56:42.808020+00:00,google,gemini-2.0-flash,0,4957,333,4,2,8,9,7,5,3,1,6
b1430edc-35b2-4ee5-81f7-ad07912d071c,2025-03-25 13:56:46.419643+00:00,google,gemini-2.0-flash,0,4947,328,1,4,6,5,8,7,2,3,9
8ec9f770-7f33-47e1-afcb-eba7a60e541c,2025-03-25 13:56:50.478792+00:00,google,gemini-2.0-flash,0,4947,326,3,7,5,8,6,9,1,2,4
b21a7f9d-4424-43d3-9fca-fa72df2c97cf,2025-03-25 13:56:54.675650+00:00,google,gemini-2.0-flash,0,4953,332,4,5,8,2,6,7,1,3,9
234457f0-c0fb-4551-b5c1-8c7dfbb1851a,2025-03-25 13:56:58.868464+00:00,google,gemini-2.0-flash,0,4949,328,1,3,8,6,5,4,2,7,9
f1caab3f-fbd3-4cca-9d25-822ce6e0b730,2025-03-25 13:57:03.162083+00:00,google,gemini-2.0-flash,0,4947,332,1,7,8,5,4,3,2,6,9
21e987e4-2c8b-485c-a623-e71634cdb090,2025-03-25 13:57:06.757895+00:00,google,gemini-2.0-flash,0,4951,334,3,6,5,4,7,2,1,8,9
76de0af8-3f9c-4ec0-af4b-eb5f9626fdbf,2025-03-25 13:57:10.857076+00:00,google,gemini-2.0-flash,0,4945,324,7,5,3,2,4,6,1,8,9
c10cb8e2-6909-44cd-9b04-fbb53dc5d625,2025-03-25 13:57:15.157928+00:00,google,gemini-2.0-flash,0,4943,326,7,4,2,8,1,3,6,5,9
dccd439c-e2c8-44b3-a1e4-2863b989ed70,2025-03-25 13:57:19.338173+00:00,google,gemini-2.0-flash,0,4949,328,7,4,6,2,5,8,1,3,9
6cc6e78b-af07-4675-8728-167b03693f0f,2025-03-27 09:33:31.758965+00:00,google,gemini-2.0-flash,0,4955,337,3,9,7,4,6,5,2,1,8
eee2fc92-0a18-4139-9707-e3048a5850a7,2025-03-27 09:33:35.565519+00:00,google,gemini-2.0-flash,0,4951,337,8,4,6,7,1,5,3,2,9
d7e4bd4d-8575-414c-803d-dfd53cd34977,2025-03-27 09:33:39.481966+00:00,google,gemini-2.0-flash,0,4947,325,2,7,3,5,6,8,1,9,4
82a022c9-cca9-4068-a0fe-c7a7aad2f0d7,2025-03-27 09:33:43.469477+00:00,google,gemini-2.0-flash,0,4953,332,3,4,8,5,6,7,1,2,9
7d926752-ea65-48e6-92ec-f54154df72ed,2025-03-27 09:33:47.479883+00:00,google,gemini-2.0-flash,0,4949,329,3,4,1,6,7,5,2,8,9
c1f64adc-a726-416d-8fec-1ec00c17eea4,2025-03-27 09:33:51.509046+00:00,google,gemini-2.0-flash,0,4947,334,1,4,8,5,6,2,3,7,9
46c6a785-a610-4edb-aa56-f73555a59f63,2025-03-27 09:33:55.301713+00:00,google,gemini-2.0-flash,0,4953,330,5,6,4,2,3,7,1,8,9
cc32b057-c03d-4fa7-bd01-f2050c28326c,2025-03-27 09:33:59.249664+00:00,google,gemini-2.0-flash,0,4945,324,7,5,3,2,4,6,1,8,9
6f6b5b41-b34b-436b-bd36-88d8cffb2ee1,2025-03-27 09:34:03.155198+00:00,google,gemini-2.0-flash,0,4943,324,7,8,5,2,1,3,6,4,9
55cb3a9d-f7ea-463e-8090-ce96c8f72153,2025-03-27 09:34:07.072215+00:00,google,gemini-2.0-flash,0,4947,331,7,5,6,2,3,8,1,4,9
