cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"C1. Public funds should pay for biobanks, instead of private companies.",C2. The community that provides samples for research should receive improved medical services in return.,C3. People should be paid for providing their samples to a biobank.,C4. Information about people's genes and the traits they inherit from their parents is more private than their medical records.,C5. The confidentiality of personal medical information is critical in any circumstance where research is being conducted.,C6. High-priced genetic research is diverting funds that could be used to promote public health in other ways.,C7. Race is a useful topic for genetic studies,C8. Collecting samples from people in an ethnic or cultural group is acceptable only if the whole group has agreed to participate.,C9. Religious groups need to be asked for their views about biobanks and genetic research.,C10. Genetic studies will lead to the discrimination of people living with genetic conditions or disabilities.,C11. Genetic studies of race on ethnic or cultural groups will lead to the discrimination of those groups.,C12. The priorities for health should be to reduce inequalities and the burden of disease.,C13. Biobanks are valuable even if they only advance science (e.g. provide new information about diseases) and do not lead to treatments or cures.,"C14. It is always acceptable to do research on samples that identify me, without my prior permission.",C15. There is no point asking the public for their views on the ethical issues in science and technology.,C16. Genetic research will improve our lives.,C17. Deciding how to regulate biobanks should be left to the government.,C18. There is no risk to the people who provide samples and information to biobanks.,C19. Policy makers need to consider whether WA should not have biobanks.,C20. My sample should never be permanently anonymized since I should be contacted about important research results,C21. Researchers and institutions (e.g. hospitals and universities) should be allowed to use samples for research but they should not own them.,C22. I should be asked for my permission every time researchers want to use my samples for research,C23. There must be special consideration of the views of Aboriginal people towards healthcare and genetic research.,C24. Improved health is more likely to come from educating people about their diet and lifestyle than from biobanks.,C25. People with a [chronic disease or] genetic condition in their family have a responsibility to be involved in genetic research.,C26. People should always be able to withdraw their sample from research at any time.,C27. I should have property rights to my tissues before and after they leave my body,C28. People who provide samples for research should get special access to the treatments that result from this research.,C29. Permission from the indigenous community must be sought if samples are collected from indigenous peoples.,C30. People who provide samples should be active in the set up and ongoing management of biobanks.,C31. Biobanks will only lead to high profits and expensive treatments that most people can't afford.,"C32. I do not mind if researchers have access to my samples, when there is no way I can be identified.","C33. I trust independent research ethics committees, which are not connected to the biobank in anyway, to decide whether research is ethical and approve who gets access to my samples.",C34. I trust researchers to make sure only approved people get access to my samples,C35. We should all provide samples to biobanks because it will benefit everyone.,C36. I do not mind if my sample is connected to my name and medical information.,C37. The fact that we cannot predict what biobanks will be used for in the future bothers me.,C38. Profits from biobanking should be shared in some way with the community who provided the samples.,"C39. Biobanks need to be monitored and reviewed by external, independent people to prevent the misuse of data and samples.","C40. The biobank owner should be able to sell any information they have about my genes, if they want to.","C41. I don't mind if my samples are connected to my medical records without my prior permission, so long as researchers don't get access to any data that identifies me.",C42. I trust biobanks with managers who are independent of researchers to make sure only approved people get access to my samples,C43. It's OK if data that identifies me is stored in a separate database and replaced in the biobank by a unique non-identifying code.,C44. Commercial companies should keep all the profits they make from biobanking because they take the financial risks and put up the money to develop new drugs and treatments.,"C45. Commercial companies should get access to biobanks, otherwise new drugs and treatments will not be developed.",C46. It is acceptable for samples and information that doesn't identify me to be sent to researchers overseas.,C47. People should be told if commercial companies could get access to their samples and information.,C48. The public will be more protected if biobanks are government-funded not privately funded.,C49. Biobanks are valuable because they promise huge benefits for our economy.
f442ef54-4701-4728-964d-fe450c051afe,2025-03-21 21:04:07.633561+00:00,openai,gpt-4o-mini,0,4849,300,10,11,4,7,11,7,4,11,10,10,9,11,10,1,1,10,6,1,3,6,10,11,11,6,9,11,10,8,11,11,5,8,10,8,11,5,8,9,11,2,7,9,8,3,8,9,10,10,9
d81e4842-d562-4125-af53-90f3b4b4f9b1,2025-03-21 21:04:18.119785+00:00,openai,gpt-4o-mini,0,4849,297,11,10,6,9,11,7,5,11,11,10,10,11,8,1,2,9,10,2,6,2,8,11,11,8,5,11,10,9,11,10,9,6,10,9,8,3,8,10,11,4,3,10,7,4,7,9,11,10,9
db77e13b-30cb-4510-9063-2b4bd327e088,2025-03-21 21:04:25.524815+00:00,openai,gpt-4o-mini,0,4846,297,8,10,8,8,11,8,4,11,9,10,10,11,8,1,1,11,5,2,3,3,11,11,11,9,5,11,6,9,11,11,9,7,11,7,4,1,9,10,11,2,2,11,10,4,6,6,10,10,7
133b1ce1-f7f6-4ea7-ba96-b1ae9143a013,2025-03-21 21:04:32.529072+00:00,openai,gpt-4o-mini,0,4849,298,10,8,7,8,11,6,4,11,7,10,10,11,7,1,2,10,5,1,4,1,6,9,11,8,5,11,9,5,11,8,3,6,9,9,5,3,9,10,10,2,4,8,7,2,4,6,9,10,6
1910ca8d-8519-4ae9-a1af-84134dd94b2d,2025-03-21 21:04:39.660904+00:00,openai,gpt-4o-mini,0,4849,296,11,11,5,9,11,8,5,11,9,10,10,11,8,1,2,10,8,1,4,2,10,11,11,9,6,11,9,6,11,4,9,6,10,7,5,2,8,10,11,2,4,10,7,3,3,7,10,11,9
cc882120-da88-4e8f-a9c9-bf3ef463e5d8,2025-03-21 21:04:46.011947+00:00,openai,gpt-4o-mini,0,4849,300,10,9,5,3,11,4,5,10,8,10,10,11,10,1,2,11,6,1,4,1,9,11,11,6,7,11,11,8,11,11,9,8,11,8,5,6,9,10,11,2,7,9,8,3,7,10,11,10,10
bc857eda-5d7e-475e-aae8-81921253b340,2025-03-21 21:04:53.691578+00:00,openai,gpt-4o-mini,0,4849,296,9,9,8,8,11,5,5,11,7,10,11,10,7,1,2,9,8,2,3,3,8,10,10,6,4,11,9,7,11,3,4,6,11,9,6,2,5,7,10,2,6,10,8,4,5,10,9,10,7
453e5a59-8835-4ff3-a400-b0eb62572bf3,2025-03-21 21:05:00.041073+00:00,openai,gpt-4o-mini,0,4849,299,9,10,5,5,11,8,4,10,6,9,9,10,7,1,2,11,10,1,5,3,10,11,11,6,6,11,9,7,11,8,8,8,10,6,5,2,9,8,11,2,7,7,6,4,3,9,10,10,8
2e444c4f-c5ce-45c1-abf6-e9e836d48a55,2025-03-21 21:05:07.620167+00:00,openai,gpt-4o-mini,0,4849,299,11,10,4,9,11,8,6,11,9,10,10,11,9,1,2,9,7,2,4,3,10,11,11,10,7,11,6,6,11,10,9,10,11,8,5,3,10,8,11,2,5,10,7,5,6,8,11,11,7
550440a1-bd11-4e89-8d60-181f68d9d6e5,2025-03-21 21:05:15.298747+00:00,openai,gpt-4o-mini,0,4849,297,11,10,6,10,11,3,4,10,8,10,10,10,9,1,1,9,9,1,4,5,8,11,10,6,6,11,11,7,11,9,2,6,10,7,6,2,10,8,11,2,7,9,8,5,8,9,11,10,9
