cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
97367ce4-1b0b-421e-a6ee-f722e559aaae,2025-03-27 16:48:29.164913+00:00,qwen,qwen-max,0,4467,317,5,8,3,2,6,1,7,4
d4d3ab36-b5e8-49a8-9619-395d83b27436,2025-03-27 16:48:41.274033+00:00,qwen,qwen-max,0,4467,318,4,5,3,6,7,1,8,2
f4269182-8de1-4607-9ae8-79b17b43dc6a,2025-03-27 17:36:54.917915+00:00,qwen,qwen-max,0,4465,317,6,5,4,2,7,1,8,3
91a21553-8981-407e-be7a-d4f5283a19eb,2025-03-27 17:37:06.579397+00:00,qwen,qwen-max,0,4467,314,5,6,3,2,7,1,8,4
bd510237-ccfc-445d-b322-a86a76bc1dd0,2025-03-27 17:37:18.313986+00:00,qwen,qwen-max,0,4467,317,5,6,3,2,8,1,7,4
06724629-3a20-4b75-8171-9af24e496031,2025-03-27 17:37:30.048744+00:00,qwen,qwen-max,0,4467,316,3,7,5,6,4,1,8,2
88cde46f-ab6c-4b60-8d0a-6b60578cbe65,2025-03-27 17:37:41.848743+00:00,qwen,qwen-max,0,4467,318,7,5,4,2,6,1,8,3
daa10c32-f00a-4628-96fe-91964682a5e9,2025-03-27 17:37:53.655769+00:00,qwen,qwen-max,0,4467,318,6,7,3,2,5,1,8,4
83ce7408-ef1f-4578-b2b8-687a92586702,2025-03-27 17:38:05.600648+00:00,qwen,qwen-max,0,4465,321,6,5,4,1,8,2,7,3
cd7d3f66-f3ce-4409-85cd-e7fe505c89a1,2025-03-27 17:38:17.296320+00:00,qwen,qwen-max,0,4467,326,5,6,4,3,8,1,7,2
5aaa43cd-dabf-4ec8-9afd-b6c92532cbc9,2025-03-27 17:38:29.266785+00:00,qwen,qwen-max,0,4467,317,4,6,1,5,8,3,7,2
7c1f0558-6abf-46d0-8a1e-9cf0a8e9a400,2025-03-27 17:38:41.290392+00:00,qwen,qwen-max,0,4465,318,6,5,2,1,7,4,8,3
de374365-6d27-49ca-af2c-cc40779482c6,2025-03-28 00:23:33.702785+00:00,qwen,qwen-max,0,4467,316,3,7,5,4,6,1,8,2
d2d5739e-1a94-44c6-97da-79cb028d3a3e,2025-03-28 00:23:45.238555+00:00,qwen,qwen-max,0,4465,315,6,2,3,1,7,5,8,4
bdbb603e-2b99-4d96-924f-4dfaaecf71cf,2025-03-28 00:23:56.915361+00:00,qwen,qwen-max,0,4467,321,6,2,5,3,8,1,7,4
ce2414a5-cbf0-4735-8cba-a61f5b84f812,2025-03-28 00:24:08.989796+00:00,qwen,qwen-max,0,4467,316,7,8,3,5,6,2,1,4
0c3c58f5-852e-4c30-9b48-22cd8df684b5,2025-03-28 00:24:20.672167+00:00,qwen,qwen-max,0,4467,326,3,5,2,6,7,1,8,4
f172e1b0-cf15-41bc-893d-61d232b06626,2025-03-28 00:24:32.737560+00:00,qwen,qwen-max,0,4467,315,5,6,4,2,7,1,8,3
02849b10-7e06-4c31-a219-fce0e8198381,2025-03-28 00:24:44.316280+00:00,qwen,qwen-max,0,4467,318,6,4,5,2,7,1,8,3
44a592e7-3ac5-4f3e-82d0-c90d11328397,2025-03-28 00:24:56.368493+00:00,qwen,qwen-max,0,4467,321,5,3,1,6,8,4,7,2
95a2266e-cd72-46e4-b039-3e1951912546,2025-03-28 00:25:08.304488+00:00,qwen,qwen-max,0,4467,318,5,6,2,3,7,1,8,4
51a687ab-7320-4d95-9610-4b1778f9eb54,2025-03-28 00:25:19.954136+00:00,qwen,qwen-max,0,4467,316,5,3,4,6,7,1,8,2
74a65b3c-6f8f-4147-a4e9-289b9c825503,2025-03-28 00:25:31.740283+00:00,qwen,qwen-max,0,4467,323,6,5,3,2,7,1,8,4
db9ee450-e8a7-42a7-9dde-d76caf815e79,2025-03-28 00:25:43.542049+00:00,qwen,qwen-max,0,4467,317,6,3,4,5,7,1,8,2
83931462-01b8-43db-b4b9-95e528b7256e,2025-03-28 00:25:55.715193+00:00,qwen,qwen-max,0,4467,316,6,4,5,3,7,1,8,2
073f121b-0f0b-4c45-b513-6ece01662a11,2025-03-28 00:26:07.822232+00:00,qwen,qwen-max,0,4465,316,7,5,2,3,6,1,8,4
d4cee0b1-1ebc-4ce6-b349-a8498858c39a,2025-03-28 00:26:19.577684+00:00,qwen,qwen-max,0,4467,317,5,6,3,1,7,2,8,4
f3ddd769-fc7e-4dec-a174-d3a4b5aadb21,2025-03-28 00:26:31.150484+00:00,qwen,qwen-max,0,4467,326,3,6,5,2,7,1,8,4
4caed9fc-7bf9-41b6-bb56-433e8e852551,2025-03-28 00:26:43.154108+00:00,qwen,qwen-max,0,4467,321,5,4,3,2,7,6,8,1
e2f2d533-9294-4e5d-98ef-22eb25d2b5dd,2025-03-28 00:26:55.022382+00:00,qwen,qwen-max,0,4467,320,3,5,2,6,7,1,8,4
8a119ea4-e9fa-41bf-8a6a-eef786cc6ac3,2025-03-28 00:27:06.851218+00:00,qwen,qwen-max,0,4467,317,5,6,3,2,7,1,8,4
