cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
3b566285-e053-47c7-9768-7a1daf69bd3e,2025-04-08 15:02:32.127848+00:00,openai,gpt-4.5-preview,0,4199,280,2,6,7,3,5,4,8,1
1dc212f9-24d2-4e6c-bdda-64ac96ae9afc,2025-04-08 15:03:09.183795+00:00,openai,gpt-4.5-preview,0,4199,281,2,5,7,3,1,4,8,6
2de2e281-1201-4114-8316-bcf2756d23cc,2025-04-08 15:03:46.878131+00:00,openai,gpt-4.5-preview,0,4199,283,4,5,2,1,3,6,8,7
84ce1b56-853e-4d16-9dfb-6ef26053477a,2025-04-08 15:04:31.595132+00:00,openai,gpt-4.5-preview,0,4199,282,4,2,5,3,7,1,8,6
ccfbe1fe-94ae-4f4c-8e8c-f218a66e2263,2025-04-08 15:05:11.319764+00:00,openai,gpt-4.5-preview,0,4199,285,2,3,7,1,5,4,8,6
1a97a408-4ebc-4949-8abb-e44f8e4f7cee,2025-04-10 08:17:29.408335+00:00,openai,gpt-4.5-preview,0,4199,281,2,5,7,3,6,4,8,1
1ec190b8-ea8a-46d0-9d50-945f353055dd,2025-04-10 08:17:47.465095+00:00,openai,gpt-4.5-preview,0,4199,282,2,5,7,3,6,4,8,1
c85656a6-7cdf-4d55-8e20-ca52d2a5e545,2025-04-10 08:18:07.267272+00:00,openai,gpt-4.5-preview,0,4199,280,4,5,2,1,3,6,8,7
fe1a5526-a9a4-4637-bc44-65ce4332f190,2025-04-10 08:18:23.033176+00:00,openai,gpt-4.5-preview,0,4199,284,3,7,5,4,1,2,8,6
8f86cea0-6190-447a-b1cd-cec019d9a796,2025-04-10 08:18:43.738889+00:00,openai,gpt-4.5-preview,0,4199,284,2,8,5,1,3,4,7,6
