cuid,created_at,provider,model,temperature,input_tokens,output_tokens,C1. There is not enough information to definitively say that climate change is real.,C2. The response to  climate change is not going to be positive.  The same mistakes will keep happening.,"C3. Climate variation is normal, so why should this be a problem?",C4. More educational programmes are needed to increase public awareness about climate change.,C5. Climate change will not be a problem because there will be technological solutions available.,C6. I don't trust what scientists say about climate change.,C7. I don't trust what I hear about climate change from government.,C8. We need strong political leadership to do something about climate change.,C9. I think it is safe to say climate change is here.,C10. I'm not going to do anything to address climate change because it is not a major issue.,C11. There's not much point in me doing anything to fix this. No-one else is going to.,C12. It's difficult to trust what comes out in the media on the issue of climate change.,"C13. It is already too late to do anything, as any action to stop climate change will take a long time to take effect.","C14. I'm not concerned enough to do anything drastic about this, such as participate in political action.",C15. It is unfair that we are going to leave the climate in a mess for future generations.,C16. We should pay for greenhouse emissions.,C17. We can adapt to the coming changes.,C18. It is clear that we are already entering the zone of dangerous climate change.,C19. I care about the planet.,"C20. I don't know what to do. I'm very concerned and would like to do something, but I don't have a realistic shortlist of things that would really make a difference.",C21. Australia does not owe it to the rest of the world to reduce emissions and suffer economically.,C22. If Australia reduces greenhouse gases it won't make a difference. That will just shift Australian jobs to other countries. ,C23. This is so depressing and is so out of our control.,"C24. I believe that the difference we can have as an individual, in Australia, is so minimal that our actions are worthless.","C25. Australia is particularly vulnerable to climate change, and it is in our interest to help find an effective global solution.",C26. We need laws addressing climate change because people are not going to volunteer to change.,"C27. I want to do something, but it is too big and too hard.","C28. When I read in the paper that climate change is not true, I start to have doubts about whether it is changing.",C29. Doing something to reduce emissions feels a bit hopeless but I just want to feel that I'm doing the most I can.,C30. The fate of the planet is too important to be left to market forces.,"C31. Australia's emissions are tiny, so it's not up to us to act.",C32. Governments should take a far greater role in preparing towns and cities to adapt to the impacts of climate change.,C33. Failure to address climate change is the fault of political leaders.
94e1be87-5658-4983-a80f-c2c3f2231449,2025-04-03 11:34:59.622381+00:00,google,gemma3:12b,0,0,0,2,2,3,7,4,2,2,2,8,1,1,3,1,1,6,3,6,1,7,3,1,1,1,1,8,9,3,2,6,9,1,7,2
bdab9ad6-4b8d-4a42-9f4f-b94c0802d548,2025-04-03 11:35:24.238182+00:00,google,gemma3:12b,0,0,0,4,2,3,1,9,1,7,9,6,3,2,7,4,6,3,9,8,5,1,4,6,4,5,5,8,5,6,2,7,1,8,3,2
2da6ed56-4029-4c9b-9bbc-3ede48850fda,2025-04-03 11:35:48.277911+00:00,google,gemma3:12b,0,0,0,2,1,1,4,3,1,1,6,4,1,2,2,1,1,1,3,4,1,2,3,1,2,1,1,6,6,2,2,3,6,1,6,2
c46a7dc7-b3c4-4999-9667-96f88134ecb0,2025-04-03 11:36:11.800772+00:00,google,gemma3:12b,0,0,0,1,3,1,7,4,2,1,5,6,1,2,3,1,2,5,4,1,7,8,3,6,1,1,1,8,7,2,2,6,4,1,6,4
146f419c-d77c-4791-b2c4-64bd30aba1b0,2025-04-03 11:36:35.555351+00:00,google,gemma3:12b,0,0,0,2,1,3,7,1,1,6,6,1,1,2,3,2,2,6,5,3,7,1,2,1,2,2,1,8,7,2,2,6,9,4,6,3
c9a74ab8-d12a-4399-a1ee-ba15f874f630,2025-04-03 11:36:59.257829+00:00,google,gemma3:12b,0,0,0,1,2,1,7,6,1,2,7,7,6,2,2,1,2,9,6,5,7,8,3,1,3,1,1,8,7,2,4,6,1,1,7,2
6bbd510e-9d8f-4503-9d1b-0abbeb24a783,2025-04-03 11:37:23.667628+00:00,google,gemma3:12b,0,0,0,2,1,1,4,5,1,1,7,6,1,1,3,1,6,2,6,4,7,7,2,3,1,1,1,8,6,1,3,4,8,1,6,2
544da120-0356-4e53-9c38-23f07959f9c2,2025-04-03 11:37:47.993394+00:00,google,gemma3:12b,0,0,0,1,2,1,8,3,1,1,7,3,5,4,6,2,5,7,7,3,6,9,3,2,1,7,1,8,7,2,2,6,9,1,6,4
d0274b6e-0109-4203-86c2-161794f88127,2025-04-03 11:38:11.687992+00:00,google,gemma3:12b,0,0,0,2,1,6,6,5,1,1,4,7,1,1,1,1,1,2,2,1,1,8,1,2,2,3,2,8,7,1,3,4,8,1,5,1
4b41ca39-101b-451c-8872-40ce1419f248,2025-04-03 11:38:35.572157+00:00,google,gemma3:12b,0,0,0,3,1,1,4,2,1,1,4,3,6,1,2,1,1,1,4,3,3,5,2,1,1,1,1,6,4,2,2,3,1,1,3,1
d74ac12d-dd06-4c33-88ea-de0b6fe8f7d3,2025-04-03 13:23:04.240160+00:00,google,gemma3:12b,0,0,0,3,2,6,7,5,2,2,2,6,1,2,2,1,2,3,4,5,1,8,3,1,1,2,1,7,4,3,1,6,5,1,6,3
