cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a moderate cut in CO2 emissions (at least 25% in over the next 10 years).,P4. Policies that involve a dramatic cut back in CO2 emissions (at least 50% in the next 10 years).,P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
69502cb5-6680-486d-84bc-9ce72b3a5241,2025-03-24 21:51:49.197782+00:00,anthropic,claude-3-haiku-20240307,0,3298,102,5,3,4,6,1,2,7
ff30686d-e832-4c5f-ba7b-039cc63677d4,2025-03-24 21:51:53.075813+00:00,anthropic,claude-3-haiku-20240307,0,3484,202,1,6,3,5,4,7,2
708c812e-6870-4d0c-9085-876861d8ba41,2025-03-24 21:51:57.943639+00:00,anthropic,claude-3-haiku-20240307,0,3484,195,6,7,5,4,3,1,2
ff4013b0-6e3d-4b52-8773-2b8cb3799f19,2025-03-24 21:52:03.005697+00:00,anthropic,claude-3-haiku-20240307,0,3484,198,7,4,6,3,5,2,1
9e147f10-5da0-4c7c-9158-4b8ea0375037,2025-03-24 21:52:08.343679+00:00,anthropic,claude-3-haiku-20240307,0,3484,196,1,7,6,2,4,5,3
38541e67-ba6f-4271-8145-8046cc98ae59,2025-03-24 21:52:13.410127+00:00,anthropic,claude-3-haiku-20240307,0,3484,197,6,5,2,1,4,7,3
0aea98f1-97b7-4cfc-b7ce-ad36bd3245f4,2025-03-24 21:52:17.766937+00:00,anthropic,claude-3-haiku-20240307,0,3484,195,6,7,4,1,2,3,5
8646a1d1-9f7e-48bf-a0e4-e42d2f0a0fb6,2025-03-24 21:52:22.077749+00:00,anthropic,claude-3-haiku-20240307,0,3484,197,2,6,3,5,7,4,1
43b2ac7d-056d-4cf0-92d8-446389bf8ef8,2025-03-24 21:52:26.780144+00:00,anthropic,claude-3-haiku-20240307,0,3484,200,4,7,3,1,6,2,5
aa37c986-4785-4548-957c-abd261ed8bbc,2025-03-24 21:52:32.409145+00:00,anthropic,claude-3-haiku-20240307,0,3484,194,6,7,2,4,1,3,5
59505840-61c2-4f8b-ac95-0ea9a9ce1218,2025-04-02 09:32:00.593126+00:00,anthropic,claude-3-haiku-20240307,0,3484,194,6,4,5,7,3,2,1
aec07dc1-d72e-41ff-87c2-3d093b461392,2025-04-02 09:32:05.205224+00:00,anthropic,claude-3-haiku-20240307,0,3505,218,6,7,2,4,3,1,5
00e599a5-0070-4d32-a3d3-e39af787e6d3,2025-04-02 09:32:10.190126+00:00,anthropic,claude-3-haiku-20240307,0,3505,221,3,6,2,1,7,4,5
1d6f1647-c01b-4a3a-ac23-7e0f15330aca,2025-04-02 09:32:19.733344+00:00,anthropic,claude-3-haiku-20240307,0,3484,197,7,4,2,6,1,5,3
5460d9d9-1f5a-4e32-9799-b3303e9a10dc,2025-04-02 09:32:28.379905+00:00,anthropic,claude-3-haiku-20240307,0,3484,195,6,4,5,1,2,3,7
01a50b08-ade3-4c19-b7b7-8cb85cb5d881,2025-04-02 09:32:33.917964+00:00,anthropic,claude-3-haiku-20240307,0,3505,220,6,7,4,1,5,3,2
223a3199-090e-4ea5-99b7-a948d0a63bd7,2025-04-02 09:32:38.795282+00:00,anthropic,claude-3-haiku-20240307,0,3484,201,2,7,5,6,3,4,1
37292ba0-4092-4435-8e18-00b9c45b4223,2025-04-02 09:32:43.384301+00:00,anthropic,claude-3-haiku-20240307,0,3484,194,2,7,3,5,1,4,6
169598ab-5489-42cb-8c19-47e8e0f88a2d,2025-04-02 09:32:48.790537+00:00,anthropic,claude-3-haiku-20240307,0,3484,194,5,7,1,2,3,6,4
8e80cc3d-f88f-46ef-b81b-64985724a7bd,2025-04-02 09:32:52.759878+00:00,anthropic,claude-3-haiku-20240307,0,3484,210,6,5,3,1,4,2,7
9549790b-f46b-4d6e-8348-1c098cc80ff5,2025-04-02 09:32:58.826260+00:00,anthropic,claude-3-haiku-20240307,0,3484,195,5,6,3,2,7,1,4
781938ee-50ff-4387-866e-a495b1e5bb80,2025-04-02 09:33:03.527874+00:00,anthropic,claude-3-haiku-20240307,0,3484,199,2,7,3,5,4,1,6
cf1372eb-1660-49a9-a10a-ea949869539c,2025-04-02 09:33:07.469577+00:00,anthropic,claude-3-haiku-20240307,0,3484,201,7,1,3,4,6,5,2
cbd5a4db-e25c-4262-b118-8218504dfeda,2025-04-02 09:33:11.587049+00:00,anthropic,claude-3-haiku-20240307,0,3484,198,6,1,5,7,2,4,3
b7420595-a142-423e-85a9-079d212aca68,2025-04-02 09:33:15.621762+00:00,anthropic,claude-3-haiku-20240307,0,3484,197,2,5,4,1,3,6,7
fa93b966-80cc-487e-a73c-6f475829b1fc,2025-04-02 09:33:20.012474+00:00,anthropic,claude-3-haiku-20240307,0,3505,220,7,5,3,1,6,2,4
471363bd-7d0e-4b07-abca-29df6bdf4a53,2025-04-02 09:33:24.257104+00:00,anthropic,claude-3-haiku-20240307,0,3484,194,5,7,3,6,4,2,1
10f92baa-abbd-4a21-97cc-81ec47d8a828,2025-04-02 09:33:28.598601+00:00,anthropic,claude-3-haiku-20240307,0,3484,197,6,4,2,1,3,5,7
ae1ebc27-2160-456b-bd60-292170e146d5,2025-04-02 09:33:32.573835+00:00,anthropic,claude-3-haiku-20240307,0,3484,197,5,7,1,4,3,6,2
de76053c-4eec-45e3-b98d-933c323ae496,2025-04-02 09:59:04.103638+00:00,anthropic,claude-3-haiku-20240307,0,3484,196,4,7,2,5,6,1,3
2b5e6dfb-5884-4d85-a380-babe4646f46c,2025-04-02 09:59:08.196403+00:00,anthropic,claude-3-haiku-20240307,0,3484,200,4,6,2,1,3,7,5
0cb32dec-6086-4779-a45b-8f8cf6e15c30,2025-04-02 09:59:12.300088+00:00,anthropic,claude-3-haiku-20240307,0,3505,219,7,1,6,3,4,5,2
