cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
65e2c517-0a6e-4212-94c0-a64fc63cb3c9,2025-03-25 11:02:23.765120+00:00,mistralai,ministral-3b-latest,0,3483,241,4,7,2,1,6,3,5
8ad0137a-2bbe-45f4-9b6a-4a97b35c91be,2025-03-25 11:02:32.234614+00:00,mistralai,ministral-3b-latest,0,3483,253,2,7,3,4,5,1,6
f95a04bd-658e-41b1-a8c7-222fedcdb05a,2025-03-25 11:14:52.321026+00:00,mistralai,ministral-3b-latest,0,3483,241,4,7,2,1,6,3,5
806ff671-d2ec-40f6-8180-0e1654d3fde6,2025-03-25 11:14:59.881161+00:00,mistralai,ministral-3b-latest,0,3483,253,2,7,3,4,5,1,6
3ed18b7b-fb9b-4fc9-aea3-82b04b77a24f,2025-03-25 11:15:13.115906+00:00,mistralai,ministral-3b-latest,0,3483,287,4,6,3,1,5,2,7
fbcc095b-2e80-4693-8f3b-8f799508bb3f,2025-03-25 11:15:24.724437+00:00,mistralai,ministral-3b-latest,0,3483,283,3,1,5,6,4,2,7
33554d09-97de-40b1-a340-7dda5352e37b,2025-03-25 11:15:32.915458+00:00,mistralai,ministral-3b-latest,0,3483,289,7,6,1,4,5,2,3
7cd87e0e-885a-42de-a92b-170058d01329,2025-04-01 12:08:36.180320+00:00,mistralai,ministral-3b-latest,0,3483,243,4,7,2,1,6,3,5
a572e6cd-a84d-42bc-850c-6496a725cbc8,2025-04-01 12:08:40.914163+00:00,mistralai,ministral-3b-latest,0,3483,231,1,3,4,5,6,2,7
c99e91d6-efb9-4e11-b98f-7c7548087988,2025-04-01 12:08:46.786875+00:00,mistralai,ministral-3b-latest,0,3483,254,4,6,3,1,5,2,7
79de5119-c1c8-4c16-bced-a196058080d4,2025-04-01 12:08:52.529686+00:00,mistralai,ministral-3b-latest,0,3483,288,3,1,5,6,4,2,7
77795403-c940-440d-af2a-a96f0e533a63,2025-04-01 12:08:59.720024+00:00,mistralai,ministral-3b-latest,0,3483,299,7,6,1,4,5,2,3
7c6e83c6-9348-45de-b65d-b6a399628187,2025-04-02 14:55:54.335934+00:00,mistralai,ministral-3b-latest,0,3483,231,1,7,4,6,2,5,3
59fad8ce-cac9-415f-8588-e8b060e985b5,2025-04-02 14:55:59.874484+00:00,mistralai,ministral-3b-latest,0,3483,231,3,7,2,6,1,4,5
fffad518-0937-4ab9-a13d-2f273ae9ee79,2025-04-02 14:56:04.332801+00:00,mistralai,ministral-3b-latest,0,3483,236,7,6,4,5,1,3,2
4c48c53a-8d9a-44ba-94c5-90cbd918f0cc,2025-04-02 14:56:09.091140+00:00,mistralai,ministral-3b-latest,0,3483,255,7,6,4,1,3,2,5
c46d2b99-1344-4ed1-b8fd-358318d75f77,2025-04-02 14:56:14.071994+00:00,mistralai,ministral-3b-latest,0,3483,229,6,5,3,7,4,2,1
695c38d2-cbf0-46b3-b697-5adfc076e0b6,2025-04-02 14:56:20.977537+00:00,mistralai,ministral-3b-latest,0,3483,310,1,6,3,7,4,2,5
