cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
a0318a80-c0f5-49c9-bd91-dcc7dc88b1ea,2025-03-21 07:57:45.682075+00:00,google,gemma2,0,0,0,4,6,7,5,1,3,8,2
0e92213b-a11a-4615-aea6-dec7cd74febd,2025-03-21 07:58:10.433451+00:00,google,gemma2,0,0,0,6,2,3,5,8,4,1,7
6df0089e-5f68-4156-883a-7a74630aa213,2025-03-21 07:58:34.908932+00:00,google,gemma2,0,0,0,7,4,3,1,8,5,2,6
77ebb6f0-6de3-47f7-93d1-78fa2748ea9a,2025-03-21 07:58:59.098696+00:00,google,gemma2,0,0,0,6,5,7,2,4,1,8,3
b06f07e7-871a-41db-9124-175473145401,2025-03-21 07:59:22.861776+00:00,google,gemma2,0,0,0,7,8,4,3,1,2,6,5
a4d88fa5-0e81-454a-8c00-4bdf467d1e56,2025-03-21 07:59:46.779906+00:00,google,gemma2,0,0,0,7,8,6,2,4,3,1,5
77324ead-9572-42d4-a71f-a458da7b8e30,2025-03-21 08:00:11.159572+00:00,google,gemma2,0,0,0,2,3,1,4,8,5,7,6
d22a04f6-82a9-4e37-90c1-4103e6057bc0,2025-03-21 08:00:35.129462+00:00,google,gemma2,0,0,0,5,7,4,1,2,6,3,8
5134107c-a6d4-4d21-b75a-2f1bd5317799,2025-03-21 08:00:59.022747+00:00,google,gemma2,0,0,0,7,1,5,6,2,3,8,4
52105b26-def4-451c-9656-81169ce4021c,2025-03-21 08:01:22.865478+00:00,google,gemma2,0,0,0,2,4,5,6,8,7,1,3
