cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
a4064761-8c59-47a7-8f17-2c5515dc20a9,2025-03-20 15:50:09.517827+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,5,4,1,7,3,8,2
6250aed5-8f54-416f-a681-31e46736a4f5,2025-03-20 15:50:18.219982+00:00,mistralai,open-mixtral-8x22b,0,4965,330,6,5,3,2,8,1,7,4
3ad4fe1b-c626-4763-9766-70f903ee76ee,2025-03-20 15:50:27.514678+00:00,mistralai,open-mixtral-8x22b,0,4968,329,4,6,5,2,8,3,7,1
5c60595a-57d3-43ff-a9aa-b2b526f317f5,2025-03-20 15:50:36.580246+00:00,mistralai,open-mixtral-8x22b,0,4968,331,6,4,5,1,7,2,8,3
3824d457-3483-44e2-ae48-04e76144bbf1,2025-03-20 15:50:45.045777+00:00,mistralai,open-mixtral-8x22b,0,4968,329,7,8,5,1,4,2,6,3
e1e67585-f9ac-47e6-b07b-fb0e3af4e732,2025-03-20 15:50:53.314303+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,5,4,3,8,2,7,1
a6d949c4-33ad-47ea-80f9-0d5d519f3c3b,2025-03-20 15:51:02.277379+00:00,mistralai,open-mixtral-8x22b,0,4968,322,5,4,7,2,8,1,3,6
467468d8-ab8c-402f-995a-c95567f32666,2025-03-20 15:51:10.828952+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,5,4,2,8,1,7,3
b116f5e4-c496-449b-b89e-347a7c5fc2f4,2025-03-25 11:55:42.114940+00:00,mistralai,open-mixtral-8x22b,0,4968,333,6,5,4,3,8,1,7,2
15427a0a-7cfc-4795-99fc-223a22efe5d4,2025-03-25 11:55:48.120218+00:00,mistralai,open-mixtral-8x22b,0,4968,329,7,6,5,2,3,1,8,4
1e298706-1b66-45a2-8406-b211e28fb5ff,2025-03-25 11:55:54.142415+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,2,3,5,7,4,8,1
e07aad3b-afa6-4058-849b-01f4d3c9017b,2025-03-25 11:56:00.319245+00:00,mistralai,open-mixtral-8x22b,0,4968,325,3,7,1,6,5,2,8,4
dc585be4-5436-4203-98d3-e5aa73e93b48,2025-03-25 11:56:06.187023+00:00,mistralai,open-mixtral-8x22b,0,4968,322,4,2,7,5,8,6,1,3
004f6ee3-db7f-488e-83e8-1ae0e843bfb6,2025-03-25 11:56:12.508736+00:00,mistralai,open-mixtral-8x22b,0,4968,322,5,6,1,4,7,2,8,3
24c23ac1-b286-455b-95a2-d9fff379afb9,2025-03-25 11:56:19.210535+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,5,2,3,8,4,7,1
92985cdc-8d61-402e-bd84-b8fe1621a504,2025-03-25 11:56:25.819983+00:00,mistralai,open-mixtral-8x22b,0,4968,330,2,3,4,1,7,6,8,5
a7054676-cc37-4bfc-b7f5-bb4726eb8ea4,2025-03-25 11:56:31.684385+00:00,mistralai,open-mixtral-8x22b,0,4968,331,7,3,1,2,8,5,4,6
c17a82b6-7dc6-4443-9c35-efd3c1a9ecde,2025-03-25 11:56:38.427520+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,3,4,1,8,2,7,5
dbb113e7-9b1b-487c-87db-ce271eba40d7,2025-03-25 11:56:43.846990+00:00,mistralai,open-mixtral-8x22b,0,4968,325,6,5,2,3,7,1,8,4
65decc00-0ff2-4b16-83eb-54df7df914c3,2025-03-25 11:56:49.191021+00:00,mistralai,open-mixtral-8x22b,0,4968,338,7,1,4,5,6,2,8,3
599fbbca-dc97-448a-82b3-d89fba461468,2025-03-25 11:56:54.496448+00:00,mistralai,open-mixtral-8x22b,0,4968,339,6,1,3,2,7,5,8,4
8659ff9c-c86b-41f7-859a-1fc880160223,2025-03-25 11:56:59.922373+00:00,mistralai,open-mixtral-8x22b,0,4965,324,7,2,6,3,8,1,5,4
f5ec8841-673e-4ffc-a3c8-6a85f692343c,2025-03-25 11:57:05.048186+00:00,mistralai,open-mixtral-8x22b,0,4968,329,7,4,2,1,6,3,8,5
f65cabfb-2381-4016-862c-b577f592fbad,2025-03-25 11:57:11.175970+00:00,mistralai,open-mixtral-8x22b,0,4968,325,3,5,2,4,7,1,8,6
1125232e-6df2-4145-bfe6-888733f7fa92,2025-03-25 11:57:16.780556+00:00,mistralai,open-mixtral-8x22b,0,4968,330,6,1,4,3,7,5,8,2
6e8ffbe4-4130-4632-9c99-ebcc4cd749f2,2025-03-25 11:57:24.188757+00:00,mistralai,open-mixtral-8x22b,0,4968,338,6,1,5,4,8,2,7,3
3b9b639a-c759-4658-a6ac-76134f8e4e88,2025-03-25 11:57:31.080221+00:00,mistralai,open-mixtral-8x22b,0,4965,336,8,1,3,4,6,5,7,2
109f3598-9b8d-48a1-9e12-70a99c120da7,2025-03-25 11:57:37.630590+00:00,mistralai,open-mixtral-8x22b,0,4968,335,5,1,3,2,8,6,7,4
06cefd34-1121-45f9-82ac-a4ce05a1d496,2025-03-27 11:50:00.592607+00:00,mistralai,open-mixtral-8x22b,0,4968,331,3,1,4,2,8,5,7,6
50e47245-c246-4321-b3b6-20f42e48e4ad,2025-03-27 11:50:06.485123+00:00,mistralai,open-mixtral-8x22b,0,4968,330,4,3,2,1,7,5,8,6
