cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. The kind of government that we have, with no major changes","P2. Government with guaranteed involvement by all social groups, especially those representing disadvantaged minorities, in policy making","P3. A government with constitutional rules specifying its main task is to ensure that economic markets work well, and that government intervenes as little in society beyond that",P4. Government with strong leaders and legislation that ensures that proper moral principles are observed in society.,"P5. Government that abolishes all policies that give special benefits to minority groups, and instead ensures equal influence for all Australians"
e04bbc86-fc05-419e-bb34-bbf61d527164,2025-03-27 16:43:19.272017+00:00,qwen,qwen-max,0,5128,324,2,1,3,5,4
44ac5d0f-ce9d-4695-b7de-5f9db85808c5,2025-03-27 16:43:31.764615+00:00,qwen,qwen-max,0,5120,322,5,2,1,4,3
91d4c094-4620-4f5c-abd2-42c827d96f2e,2025-03-27 17:11:26.443621+00:00,qwen,qwen-max,0,5126,325,1,2,3,5,4
0e666916-f45f-47c0-bfbb-fc8c996af162,2025-03-27 17:11:38.393833+00:00,qwen,qwen-max,0,5126,323,5,1,2,3,4
7646bb42-e817-42aa-a9b5-9e47c6d5e215,2025-03-27 17:11:50.588444+00:00,qwen,qwen-max,0,5136,330,3,2,1,5,4
803e9993-5a5d-4994-914a-c9b424c85736,2025-03-27 17:12:02.867535+00:00,qwen,qwen-max,0,5122,318,3,1,5,2,4
8d062f4f-7a03-4099-b41b-24a2197a8989,2025-03-27 17:12:15.060836+00:00,qwen,qwen-max,0,5120,320,4,1,2,5,3
ee47b48c-a9c8-4bfe-be08-339474771d34,2025-03-27 17:12:27.021450+00:00,qwen,qwen-max,0,5126,321,3,2,4,1,5
620f756f-feee-46ce-b844-0eaeb41d57e6,2025-03-27 17:12:38.911473+00:00,qwen,qwen-max,0,5126,329,5,1,2,4,3
f08bf7e0-cc9b-4e33-a032-f30670b705ac,2025-03-27 17:12:51.205337+00:00,qwen,qwen-max,0,5124,319,3,1,4,2,5
f75ef62e-7930-4f28-b685-c67ce1ab61ba,2025-03-27 17:13:03.046327+00:00,qwen,qwen-max,0,5126,323,2,1,3,5,4
53233440-1c6e-43db-91f9-f40764f47978,2025-03-27 17:13:15.091448+00:00,qwen,qwen-max,0,5126,326,1,2,3,4,5
39c2a6ca-f9cc-4df8-a732-4f50b5230a2a,2025-03-27 23:35:04.521304+00:00,qwen,qwen-max,0,5128,326,4,2,1,5,3
c37eed1e-42e9-4c49-bb86-0338f7ffc159,2025-03-27 23:35:16.929265+00:00,qwen,qwen-max,0,5120,321,5,1,2,3,4
15cff542-98d3-4448-8481-a03020debb7f,2025-03-27 23:35:28.869788+00:00,qwen,qwen-max,0,5128,321,4,2,5,1,3
5422a1a9-5e09-4ff4-9475-e5e854c84b77,2025-03-27 23:35:40.644185+00:00,qwen,qwen-max,0,5122,325,4,2,1,5,3
4a5e70db-478b-4478-a18f-06a3b93d9bd4,2025-03-27 23:35:52.961407+00:00,qwen,qwen-max,0,5124,323,4,1,2,5,3
917cc32e-98aa-4483-b5e4-75121659cd9b,2025-03-27 23:36:04.808142+00:00,qwen,qwen-max,0,5119,318,2,1,3,5,4
9f0994aa-166d-4694-8723-3d04b8dd9fe1,2025-03-27 23:36:16.386728+00:00,qwen,qwen-max,0,5126,326,3,2,4,1,5
64624914-3957-48c7-8dd3-d5c1abd1ebb6,2025-03-27 23:36:28.444257+00:00,qwen,qwen-max,0,5122,320,5,1,3,2,4
691ad1d8-0877-4fb6-8fc1-7649ce9392ab,2025-03-27 23:36:43.507511+00:00,qwen,qwen-max,0,5138,326,1,2,4,5,3
c1fbcaf2-16ed-4c3b-8e08-8f554477563e,2025-03-27 23:36:55.597495+00:00,qwen,qwen-max,0,5128,323,5,1,2,4,3
17690bd7-4eea-4a5b-9180-b8149825ca85,2025-03-27 23:37:07.632900+00:00,qwen,qwen-max,0,5120,321,4,1,2,3,5
a36d9b95-2c5f-4532-b79b-1e7958fbd4db,2025-03-27 23:37:19.756910+00:00,qwen,qwen-max,0,5124,320,4,1,2,5,3
57596c09-0202-4bc1-8a52-11df75a44379,2025-03-27 23:37:31.512474+00:00,qwen,qwen-max,0,5128,322,2,1,5,4,3
4039817b-e134-44a7-85a6-f8909acbbe66,2025-03-27 23:37:43.449808+00:00,qwen,qwen-max,0,5120,317,2,1,3,4,5
e98077a3-0a57-472c-8137-980975215001,2025-03-27 23:37:55.264562+00:00,qwen,qwen-max,0,5122,318,3,1,2,5,4
644ffdce-48ac-45f7-972c-640f59a5a541,2025-03-27 23:38:07.511615+00:00,qwen,qwen-max,0,5119,318,2,1,4,5,3
3129b98d-f05a-4125-a61a-ae8349429d1a,2025-03-27 23:38:19.490330+00:00,qwen,qwen-max,0,5144,331,3,1,2,4,5
e3c4a728-2474-488c-8f73-bd7af8ef885c,2025-03-27 23:38:31.769862+00:00,qwen,qwen-max,0,5133,327,5,1,4,2,3
d1add52b-715f-4c9d-bc80-75e2a7a9955b,2025-03-27 23:38:44.008456+00:00,qwen,qwen-max,0,5132,325,2,1,3,5,4
