cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
8eaec9f2-9b9e-45bf-a850-73ccf19e8651,2025-03-20 17:45:41.746683+00:00,openai,gpt-4o,0,4202,282,8,5,6,4,2,3,7,1
73a0650a-e3e8-4a9c-8e75-f31883aca3ce,2025-03-20 17:45:50.763925+00:00,openai,gpt-4o,0,4202,281,3,2,4,6,7,5,8,1
c2d11bd8-ae6a-409e-8d6d-6668ea1c9cc4,2025-03-20 17:46:00.050737+00:00,openai,gpt-4o,0,4199,280,5,2,4,6,7,3,8,1
30156616-7f18-4efe-a807-2fae01911c8e,2025-03-20 17:46:08.540245+00:00,openai,gpt-4o,0,4199,281,6,7,2,5,4,8,3,1
11e3e8ed-3d90-4dc6-9619-2595246e83bf,2025-03-20 17:46:17.463524+00:00,openai,gpt-4o,0,4199,279,8,2,6,3,7,1,4,5
b7042c07-11d3-4710-a635-51c67ed46f0e,2025-03-20 17:46:27.083451+00:00,openai,gpt-4o,0,4199,281,1,3,6,2,4,7,8,5
7ab66918-e715-4319-9472-8c81d309cc37,2025-03-20 17:46:36.039615+00:00,openai,gpt-4o,0,4197,280,5,8,2,4,1,7,6,3
5f7c3eb8-fbe9-491d-8330-fffe65c118f1,2025-03-20 17:46:45.632931+00:00,openai,gpt-4o,0,4199,280,5,8,3,4,6,1,7,2
ac1f192b-1053-466c-9460-b6c85ec48955,2025-03-20 17:46:55.097663+00:00,openai,gpt-4o,0,4199,280,8,4,1,6,3,2,7,5
79e8fc83-e2ec-4594-8bf8-1454ad0fb09e,2025-03-20 17:47:07.068644+00:00,openai,gpt-4o,0,4200,284,7,6,1,8,3,2,4,5
8bdbb9bf-0a8e-4871-ac21-e53b84691ec4,2025-04-01 10:13:59.740226+00:00,openai,gpt-4o,0,4199,282,6,7,3,5,2,1,8,4
08f57d77-f67a-4c87-bb15-94476b75d951,2025-04-01 10:14:07.524575+00:00,openai,gpt-4o,0,4197,283,5,7,1,2,3,4,8,6
4c2fca1f-99b2-4e4a-84cf-8a84123ec1b4,2025-04-01 10:14:13.103867+00:00,openai,gpt-4o,0,4199,280,5,6,4,3,7,1,8,2
eed35fae-94c9-4405-8fd7-52dd1e44708a,2025-04-01 10:14:19.813838+00:00,openai,gpt-4o,0,4199,284,7,4,5,1,3,6,2,8
4c0e119a-315f-439b-b536-631b9777a0ff,2025-04-01 10:14:25.705439+00:00,openai,gpt-4o,0,4202,283,7,6,1,5,8,4,3,2
30150e69-0260-493b-8117-9e2bd957449a,2025-04-01 10:14:32.561672+00:00,openai,gpt-4o,0,4199,283,5,4,2,3,6,1,8,7
1e848b91-21c3-4b5c-93ee-12e09b1bd359,2025-04-01 10:14:38.510389+00:00,openai,gpt-4o,0,4199,278,8,7,2,5,3,1,6,4
49e1c4e6-73db-477d-b22a-852164c077d7,2025-04-01 10:14:43.917190+00:00,openai,gpt-4o,0,4199,280,1,5,4,7,6,8,2,3
5cc4e489-fbc3-494a-848a-12488ae10b20,2025-04-01 10:14:51.305158+00:00,openai,gpt-4o,0,4202,280,8,2,5,1,4,7,3,6
3073b410-2879-4d47-8cde-166cf2527afb,2025-04-01 10:14:58.009481+00:00,openai,gpt-4o,0,4199,279,3,1,6,8,4,2,7,5
dfcf2bbf-eca2-4dd1-8e0a-0cdc586deeac,2025-04-01 10:15:04.516972+00:00,openai,gpt-4o,0,4202,280,3,7,2,6,8,5,4,1
58497cfd-0a31-4b75-8995-86fb9489cae4,2025-04-01 10:15:10.032708+00:00,openai,gpt-4o,0,4202,281,5,2,6,4,3,8,7,1
72276ed4-1fa4-4ab3-8463-ad304e7c398b,2025-04-01 10:15:15.773861+00:00,openai,gpt-4o,0,4199,281,1,5,4,8,2,6,3,7
19bf7b14-0574-4dcb-98b2-3396c36535c1,2025-04-01 10:15:21.585019+00:00,openai,gpt-4o,0,4197,280,5,3,2,6,4,7,8,1
5d5e6e6e-fff3-492a-be0d-447f4a01eabd,2025-04-01 10:15:28.565021+00:00,openai,gpt-4o,0,4202,281,5,6,3,1,4,2,7,8
6b4f8144-ac0e-44a7-aed3-0c444a59f4e5,2025-04-01 10:15:34.664580+00:00,openai,gpt-4o,0,4199,278,3,6,5,1,7,2,8,4
af4288bf-9d9c-445b-9577-98359940282b,2025-04-01 10:15:40.966965+00:00,openai,gpt-4o,0,4197,280,6,5,3,2,7,1,8,4
ac8d72ff-1caf-4e75-9e2f-21eceecc9960,2025-04-01 10:15:48.094175+00:00,openai,gpt-4o,0,4199,281,3,2,7,5,4,6,1,8
72c3db9f-6ccd-4291-8e6c-3d12f7c04b36,2025-04-01 10:15:54.618474+00:00,openai,gpt-4o,0,4199,279,8,7,4,2,6,5,1,3
ec97cdb3-b621-4fac-8262-de8e0af3b284,2025-04-01 10:16:01.702368+00:00,openai,gpt-4o,0,4199,280,1,2,3,4,7,5,8,6
