cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Wind,P2. Biomass,P3. Coal with CO2 Burial,P4. Hydroelectric,P5. Natural Gas,P6. Geothermal Energy,P7. Solar Energy,P8. Nuclear Energy,P9. Coal
eca2cf71-504f-4400-ad12-9b64538cbee7,2025-03-26 08:21:42.581416+00:00,anthropic,claude-3-opus-20240229,0,4974,297,1,5,6,4,7,2,3,8,9
762ebeb6-d4ae-43ec-b673-a9e31071ef37,2025-03-26 08:22:02.403404+00:00,anthropic,claude-3-opus-20240229,0,4974,295,8,6,7,3,2,4,1,5,9
f835a571-691a-43a2-a5ca-dea38a654e12,2025-04-02 08:50:56.548469+00:00,anthropic,claude-3-opus-20240229,0,4974,297,1,6,7,3,5,4,2,9,8
434cb11c-168b-4ea6-a62f-050492f99d27,2025-04-02 08:51:12.170303+00:00,anthropic,claude-3-opus-20240229,0,4974,295,1,2,5,8,7,3,4,6,9
b17f6c99-d8a5-4149-8feb-d026ecc3acad,2025-04-02 08:51:27.756247+00:00,anthropic,claude-3-opus-20240229,0,4974,295,2,4,7,1,6,3,8,5,9
1aab7e23-de8b-42b9-99df-e26ccb20ae22,2025-04-02 08:51:43.231557+00:00,anthropic,claude-3-opus-20240229,0,4974,295,2,3,8,5,7,1,4,6,9
336d2a93-9cf6-4f7a-869b-431736a6a954,2025-04-02 08:51:57.805932+00:00,anthropic,claude-3-opus-20240229,0,4974,295,1,4,5,3,6,7,2,8,9
53580da9-fc87-420a-9166-a0f63ba106e2,2025-04-02 08:52:15.035173+00:00,anthropic,claude-3-opus-20240229,0,4974,293,8,4,7,3,5,1,2,6,9
704f7963-a561-4b30-b785-8fa0c702d9db,2025-04-02 08:52:30.152015+00:00,anthropic,claude-3-opus-20240229,0,4974,298,2,4,6,8,5,3,1,7,9
ee6ddaeb-24f3-486a-b73a-c0df576b21fa,2025-04-02 08:52:46.700018+00:00,anthropic,claude-3-opus-20240229,0,4974,295,2,4,7,8,6,5,3,1,9
8643d0c2-0626-4bea-b33d-fcecabd28b19,2025-04-02 08:53:00.909026+00:00,anthropic,claude-3-opus-20240229,0,4974,306,1,7,5,6,8,2,3,4,9
0c039e42-1434-4c4b-8789-4538f3fe7bea,2025-04-02 08:53:17.207085+00:00,anthropic,claude-3-opus-20240229,0,4974,293,2,4,8,3,5,7,1,6,9
6452e877-659f-4997-b46d-84e6a0518aa8,2025-04-02 11:18:33.192296+00:00,anthropic,claude-3-opus-20240229,0,4974,297,2,8,7,3,6,4,1,5,9
6991bade-9497-42af-9cb6-b9bfb843727a,2025-04-02 11:18:48.293176+00:00,anthropic,claude-3-opus-20240229,0,4974,296,1,7,6,8,5,3,2,4,9
cb942f70-09e1-4e91-9893-c77f796aef9d,2025-04-02 11:19:03.386496+00:00,anthropic,claude-3-opus-20240229,0,4974,295,4,2,7,5,8,3,1,6,9
7dab7f99-83fe-415e-b23c-c75dd5edf20d,2025-04-02 11:19:17.997526+00:00,anthropic,claude-3-opus-20240229,0,4974,297,2,4,8,3,6,5,1,7,9
3a7bc31b-9f2d-4afa-9842-0a0dac2f36b9,2025-04-02 11:19:33.612330+00:00,anthropic,claude-3-opus-20240229,0,4974,295,1,4,5,7,8,6,2,3,9
d972ac5f-7cca-47e1-9bbf-a1032d3461a7,2025-04-03 08:47:37.395028+00:00,anthropic,claude-3-opus-20240229,0,4974,300,2,4,6,5,7,1,3,8,9
085880ba-2dc9-48d9-8c2e-3ed23fa34f03,2025-04-03 08:47:52.776809+00:00,anthropic,claude-3-opus-20240229,0,4974,299,1,4,8,3,7,6,2,5,9
dd5ad492-f7ec-4a89-ae5f-49f40f3b2965,2025-04-03 08:48:07.808720+00:00,anthropic,claude-3-opus-20240229,0,4974,297,1,3,8,5,6,4,2,7,9
4e41a38f-5f64-4703-a8af-4156aaf85ec6,2025-04-03 08:48:23.223853+00:00,anthropic,claude-3-opus-20240229,0,4974,295,2,3,8,4,6,5,1,7,9
5b2cf68b-2399-42a9-af7d-dd2931949637,2025-04-03 08:48:41.031745+00:00,anthropic,claude-3-opus-20240229,0,4974,295,3,7,6,5,2,1,4,8,9
131dd434-acf8-4abd-b17c-48a336207e1f,2025-04-03 08:48:56.391328+00:00,anthropic,claude-3-opus-20240229,0,4974,299,2,8,4,3,7,5,6,1,9
635bd293-8d7b-43fd-a9c3-e0bf01c32be6,2025-04-03 08:49:11.763462+00:00,anthropic,claude-3-opus-20240229,0,4974,293,3,4,6,7,5,2,1,8,9
01d34b56-cf99-4ed0-8b27-73a4929b1ad5,2025-04-03 08:49:26.453397+00:00,anthropic,claude-3-opus-20240229,0,4974,295,2,4,7,8,6,3,1,5,9
e46930ad-ba01-405a-a73d-23d7ab51e2bb,2025-04-03 08:49:41.401693+00:00,anthropic,claude-3-opus-20240229,0,4974,297,2,4,6,7,8,3,1,5,9
60a24554-8aba-4682-b2af-718617847926,2025-04-03 08:49:56.011149+00:00,anthropic,claude-3-opus-20240229,0,4974,297,1,4,8,7,6,5,2,3,9
4658c733-0570-4a07-a3e5-c2bea2cd26b5,2025-04-03 08:50:10.869710+00:00,anthropic,claude-3-opus-20240229,0,4974,299,2,3,5,4,7,8,1,6,9
072d8f3a-7ee6-4bb7-b579-bf3cbab7ad6b,2025-04-03 08:50:26.878141+00:00,anthropic,claude-3-opus-20240229,0,4974,294,2,6,8,5,7,3,1,4,9
6eba0761-497b-4771-88fe-f57a6d7300fe,2025-04-03 08:50:42.292065+00:00,anthropic,claude-3-opus-20240229,0,4974,297,4,5,1,8,7,2,3,6,9
