cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
31e1f3fb-e049-4c20-bb06-d6218b7329b0,2025-03-25 15:16:36.727934+00:00,mistralai,open-mistral-7b,0,3797,285,5,7,3,2,1,4,6
dbd46748-81af-4f38-aeb0-3edaa4186b95,2025-03-25 15:16:40.842617+00:00,mistralai,open-mistral-7b,0,3797,274,6,7,4,5,1,2,3
9fcda48d-ab13-408b-8088-49a6b00f8b2f,2025-03-25 15:16:45.547988+00:00,mistralai,open-mistral-7b,0,3797,284,7,6,3,4,5,2,1
330caaca-22b0-40c3-98bf-16e7259c0930,2025-03-25 15:16:49.450522+00:00,mistralai,open-mistral-7b,0,3797,251,3,7,6,1,5,4,2
f8004a4b-fe20-4a66-b015-de85521d6a45,2025-03-25 15:16:53.229648+00:00,mistralai,open-mistral-7b,0,3797,263,7,2,6,4,3,1,5
4ad0df9b-f6b9-4a30-9e7f-ed496b3b4ebe,2025-03-27 13:07:09.974055+00:00,mistralai,open-mistral-7b,0,3797,277,7,5,2,6,1,3,4
84bf6090-be9b-4e49-b82f-0f230bf9cc29,2025-03-27 13:07:13.878439+00:00,mistralai,open-mistral-7b,0,3797,273,7,3,4,2,5,1,6
f600c664-fbee-4b7e-8024-afcb60b3d6f3,2025-03-27 13:07:20.665872+00:00,mistralai,open-mistral-7b,0,3797,280,5,7,4,6,3,1,2
911074ea-2200-43a0-9d2b-0d6c56af5386,2025-03-27 13:07:24.830019+00:00,mistralai,open-mistral-7b,0,3797,281,5,7,2,4,1,3,6
95d5bbaf-a657-41a4-80fa-7e67394ead73,2025-03-27 13:07:28.713584+00:00,mistralai,open-mistral-7b,0,3797,259,6,7,5,4,3,2,1
c07dba28-dec4-417b-b90c-f13fbcadf14f,2025-03-27 13:07:32.605025+00:00,mistralai,open-mistral-7b,0,3797,279,5,7,3,1,4,2,6
a998b7ef-3a29-4dd8-a4cf-be6a809cb1d2,2025-03-27 13:07:36.845176+00:00,mistralai,open-mistral-7b,0,3797,272,7,6,1,4,5,3,2
4c393783-e6f7-42ec-b9b2-3cdd211c0765,2025-03-27 13:07:40.620262+00:00,mistralai,open-mistral-7b,0,3797,264,7,6,5,4,2,1,3
05910fbe-d1e1-4171-9460-02a6bfe36020,2025-03-27 13:07:45.095317+00:00,mistralai,open-mistral-7b,0,3797,277,2,7,5,4,3,6,1
9096620f-80df-4a18-a7fd-e7f137af05ee,2025-03-27 13:07:48.783103+00:00,mistralai,open-mistral-7b,0,3797,275,7,6,3,4,5,2,1
521c88fd-b30f-459c-a1ac-3c57793b66d7,2025-03-27 13:07:52.605090+00:00,mistralai,open-mistral-7b,0,3797,253,3,1,7,2,4,6,5
60efa950-1a39-4981-9389-f00464708414,2025-03-27 13:07:56.264037+00:00,mistralai,open-mistral-7b,0,3797,290,7,6,5,2,4,1,3
c03e911b-e86e-473b-bd9a-688b99696c97,2025-03-27 13:08:00.457367+00:00,mistralai,open-mistral-7b,0,3797,277,6,7,4,1,3,2,5
5bae387f-7d3a-4d6d-aba1-aaac69ac24f5,2025-03-27 13:08:04.143870+00:00,mistralai,open-mistral-7b,0,3797,286,4,7,3,5,1,2,6
90e91c9e-778b-4286-97ae-883c1e2845d3,2025-03-27 13:08:08.136911+00:00,mistralai,open-mistral-7b,0,3797,258,7,6,2,1,3,5,4
68639955-d28c-4ace-8463-a5ce8f42b9fe,2025-03-27 13:08:11.919509+00:00,mistralai,open-mistral-7b,0,3797,283,2,7,6,3,5,1,4
e8680e83-48dc-4e49-9fc6-13d1bf0923b5,2025-03-27 13:08:17.558492+00:00,mistralai,open-mistral-7b,0,3797,288,7,6,3,1,5,4,2
fc73e377-cd93-4826-aff9-bffd8d662e25,2025-03-27 13:08:21.651584+00:00,mistralai,open-mistral-7b,0,3797,262,6,7,3,5,4,1,2
82af3cf7-1283-46f5-af26-758b868eac12,2025-03-27 13:08:25.339204+00:00,mistralai,open-mistral-7b,0,3797,261,5,7,2,3,6,4,1
fa597367-f211-4d07-8d2a-c580c8834b36,2025-03-27 13:08:28.922979+00:00,mistralai,open-mistral-7b,0,3797,272,7,6,1,3,2,4,5
ab275c1b-7889-455b-aeb7-b69c87f6d28a,2025-03-27 13:08:32.675817+00:00,mistralai,open-mistral-7b,0,3797,278,6,7,1,2,4,3,5
5c17be15-0e13-4342-85fd-cee95034a6bd,2025-03-27 13:08:37.130890+00:00,mistralai,open-mistral-7b,0,3797,267,5,7,6,2,1,3,4
d83bfd03-eff7-412f-ad5d-e0fa1be9d8fa,2025-03-27 13:08:40.742511+00:00,mistralai,open-mistral-7b,0,3797,269,7,6,5,4,3,2,1
e3157319-ef8d-481c-b7eb-b3681dfe87da,2025-03-27 13:08:44.306159+00:00,mistralai,open-mistral-7b,0,3797,256,4,5,2,7,1,3,6
9296c36a-995f-4422-a26a-4ebb6f4e010e,2025-03-27 13:08:47.880792+00:00,mistralai,open-mistral-7b,0,3797,295,2,6,5,4,7,3,1
0f2fc3c8-df21-486a-94b0-2114d186b354,2025-03-27 13:08:55.141668+00:00,mistralai,open-mistral-7b,0,3797,266,6,7,3,5,4,2,1
2f7e527a-c1c7-4e47-98b5-f254d84ceb98,2025-04-03 08:26:29.110995+00:00,mistralai,open-mistral-7b,0,3797,281,6,7,5,4,3,2,1
71f78322-fa26-4524-b55b-981615fc901b,2025-04-03 08:26:32.740963+00:00,mistralai,open-mistral-7b,0,3797,279,6,7,5,4,3,2,1
976b8513-f2e4-4fdd-84cb-d310fce8c733,2025-04-03 08:26:38.660975+00:00,mistralai,open-mistral-7b,0,3797,274,6,7,2,4,1,3,5
855e3ec4-8003-4219-8866-395528e6d110,2025-04-03 08:26:42.343873+00:00,mistralai,open-mistral-7b,0,3797,280,7,6,4,2,5,3,1
7c431519-09cb-42ab-8080-2759660f9a13,2025-04-03 08:26:49.867333+00:00,mistralai,open-mistral-7b,0,3797,271,6,3,5,7,2,4,1
82f93091-9f6c-4623-a6d5-21cf6843c81c,2025-04-03 08:26:56.352227+00:00,mistralai,open-mistral-7b,0,3797,262,6,7,3,5,2,1,4
2bd33eaa-c460-4ec6-a03a-d6b54dfb14b9,2025-04-03 08:27:03.186367+00:00,mistralai,open-mistral-7b,0,3797,272,6,7,2,3,4,5,1
7560f81a-21d4-4a85-bb4d-cc624b5e9d9d,2025-04-03 08:27:07.006835+00:00,mistralai,open-mistral-7b,0,3797,257,2,7,3,1,6,5,4
f541d5e4-e769-4d3f-aeff-eb8559fd6264,2025-04-03 08:27:10.475303+00:00,mistralai,open-mistral-7b,0,3797,301,6,7,5,1,2,4,3
