cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. Invest in innovation and the development of environmentally-friendly practices and industries (e.g. eco-tourism, sustainable agriculture). ",P2. Reduce funding for extractive and resource-intensive industries. ,"P3. No new coal mines, close all existing coal-fired power plants as soon as possible.","P4. Strengthen environmental protection regulations, such as regulation around mining and agriculture, to better protect the reef.",P5. Maintain current levels of environmental protection.,P6. Reduce current environmental regulations to boost local business.,"P7. Maintain current mixture of industries, land uses and practices (e.g. mining, refineries, agriculture and tourism)."
c769cad1-97b0-4234-a6f9-d62f7ee58733,2025-03-20 18:52:51.867456+00:00,openai,gpt-3.5-turbo,0,3606,223,3,5,7,2,1,6,4
b1f1dec5-0c2c-4400-b7c3-b27e660771fa,2025-03-20 18:52:56.033510+00:00,openai,gpt-3.5-turbo,0,3606,235,3,1,6,7,2,5,4
59c105b8-9a46-4236-a7ff-b02b078cf628,2025-03-20 18:52:59.851492+00:00,openai,gpt-3.5-turbo,0,3606,221,1,5,4,7,3,2,6
21267073-194e-4e11-83c2-5194a9878861,2025-03-20 18:53:04.437991+00:00,openai,gpt-3.5-turbo,0,3606,222,1,3,2,6,7,4,5
802cd976-6727-41d7-83a2-f02ac6af8e6e,2025-03-20 18:53:08.868408+00:00,openai,gpt-3.5-turbo,0,3606,230,5,6,7,2,4,3,1
a0d0a5dc-3658-44ec-a827-c2120f5ec10c,2025-03-20 18:53:13.140105+00:00,openai,gpt-3.5-turbo,0,3606,254,2,5,4,1,3,7,6
51c58589-8027-4b8b-ab1f-374e82f6b06f,2025-03-20 18:53:17.290979+00:00,openai,gpt-3.5-turbo,0,3606,250,1,3,4,2,6,7,5
530753b4-2986-4d08-ab39-cfc9388dffdf,2025-03-20 18:53:21.789496+00:00,openai,gpt-3.5-turbo,0,3606,232,4,6,5,1,3,7,2
8d5f6fec-9e99-45e4-a0ed-8e1e7a9ba905,2025-03-20 18:53:26.142860+00:00,openai,gpt-3.5-turbo,0,3606,258,1,2,6,3,5,7,4
ff2689f7-f5db-4a53-a087-e74ed7c0417f,2025-03-20 18:53:30.335039+00:00,openai,gpt-3.5-turbo,0,3606,248,6,4,2,7,3,1,5
7883ba1e-2508-454f-aae5-d304e353a1e2,2025-03-25 13:00:45.447554+00:00,openai,gpt-3.5-turbo,0,3606,268,6,4,7,2,3,1,5
10048376-aae3-406d-887d-e6a4ccfbaabf,2025-03-25 13:00:50.790741+00:00,openai,gpt-3.5-turbo,0,3606,256,4,7,2,3,6,5,1
7a67a5d9-aa40-4797-99ff-bbada3128840,2025-03-25 13:00:55.440701+00:00,openai,gpt-3.5-turbo,0,3606,234,1,6,2,3,5,7,4
b5f2d3c7-a1f6-4771-9809-fe5a5d77c275,2025-03-25 13:01:00.070687+00:00,openai,gpt-3.5-turbo,0,3606,270,7,4,2,5,6,1,3
8a70c1bc-1516-4c52-b1e8-016f90a81b8e,2025-03-25 13:01:05.499527+00:00,openai,gpt-3.5-turbo,0,3606,226,1,3,6,2,4,7,5
acab23f9-24a6-4723-bf35-f583bb119e98,2025-03-25 13:01:10.931497+00:00,openai,gpt-3.5-turbo,0,3606,224,2,5,1,3,7,6,4
74cfb9d8-e110-4f80-a8d5-bb9763c4560e,2025-03-25 13:01:16.529092+00:00,openai,gpt-3.5-turbo,0,3606,247,1,2,6,3,7,5,4
10b34423-89fe-467e-8302-880f0c9f15f9,2025-03-25 13:01:20.919982+00:00,openai,gpt-3.5-turbo,0,3606,253,1,6,3,4,7,5,2
9888a3a0-bc29-4cec-a543-ec5e97415b1d,2025-03-25 13:01:25.805615+00:00,openai,gpt-3.5-turbo,0,3606,247,2,6,3,4,7,5,1
35f0e4a6-3bb2-4d52-b616-7dda50c985da,2025-03-25 13:01:30.415603+00:00,openai,gpt-3.5-turbo,0,3606,227,5,1,7,6,2,3,4
2b340463-d963-4567-9733-7e56c8c7dffd,2025-03-28 07:01:48.964274+00:00,openai,gpt-3.5-turbo,0,3606,230,7,3,5,2,4,1,6
44fc9dd0-2145-446b-b777-2d440805a070,2025-03-28 07:01:53.540723+00:00,openai,gpt-3.5-turbo,0,3606,256,6,3,1,2,4,5,7
40ccc4f4-507f-4b08-b1df-deaf23241c94,2025-03-28 07:01:58.421714+00:00,openai,gpt-3.5-turbo,0,3606,249,7,2,6,5,4,1,3
78e10b4f-52e7-4212-a67d-026b2c140e33,2025-03-28 07:02:04.547380+00:00,openai,gpt-3.5-turbo,0,3606,249,1,4,2,3,6,7,5
2405ab97-2035-4420-8548-c4a72d39d04e,2025-03-28 07:02:09.634734+00:00,openai,gpt-3.5-turbo,0,3606,251,2,4,7,3,1,5,6
0fe41b3e-d6ce-4802-b5ec-8137d326108b,2025-03-28 07:02:14.648548+00:00,openai,gpt-3.5-turbo,0,3606,260,2,7,5,4,3,6,1
c4978cfb-3ba1-4f18-87be-cbca4c792b3a,2025-03-28 07:02:19.700419+00:00,openai,gpt-3.5-turbo,0,3606,254,2,4,1,3,7,6,5
e346171d-ac38-42ed-b605-95529c90edea,2025-03-28 07:02:24.651769+00:00,openai,gpt-3.5-turbo,0,3606,256,5,1,3,4,2,6,7
3ead95f8-f3c0-427f-8e7e-ecbdf78a20bb,2025-03-28 07:02:35.981403+00:00,openai,gpt-3.5-turbo,0,3606,232,3,2,6,4,7,1,5
