cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
4b3d583f-7a9a-4b70-942c-6b4a2f8f5ce3,2025-03-27 16:59:56.684149+00:00,qwen,qwen-plus,0,4467,320,5,3,2,6,7,1,8,4
32db9302-5dbb-4f6a-84bf-03c2ea33fb2f,2025-03-27 17:00:07.801412+00:00,qwen,qwen-plus,0,4467,316,4,2,3,6,7,1,8,5
514297f5-9134-4e49-8b32-96031bd31248,2025-03-27 21:18:11.993878+00:00,qwen,qwen-plus,0,4467,316,6,5,3,4,8,1,7,2
48ac9a18-b567-480a-874e-68e3095bb071,2025-03-27 21:18:22.577717+00:00,qwen,qwen-plus,0,4467,322,3,4,5,2,7,1,8,6
adb8ad6f-a823-4a7a-8977-51b0e7be54c1,2025-03-27 21:18:33.774679+00:00,qwen,qwen-plus,0,4467,320,3,2,6,5,7,1,8,4
f81e2829-ad57-494d-bf41-e41944fe42bf,2025-03-27 21:18:44.696196+00:00,qwen,qwen-plus,0,4467,315,7,3,4,2,8,1,6,5
e0baeafa-c35e-4914-b107-4c26127dd8eb,2025-03-27 21:18:55.341788+00:00,qwen,qwen-plus,0,4467,317,3,5,4,7,6,2,8,1
9194bb4f-1434-47a5-816a-d49b7b84bf4c,2025-03-27 21:19:06.207233+00:00,qwen,qwen-plus,0,4467,330,4,2,1,5,8,6,3,7
30e5ac79-189c-4144-82b0-f82dc3dec9f3,2025-03-27 21:19:16.837183+00:00,qwen,qwen-plus,0,4467,317,1,4,6,5,3,2,8,7
d5feb614-35e2-4d4d-a173-acaa5afe38f2,2025-03-27 21:19:27.332957+00:00,qwen,qwen-plus,0,4467,323,1,3,4,5,8,6,7,2
59d96b11-abe6-49cf-bc3c-c692391b9eff,2025-03-27 21:19:37.765885+00:00,qwen,qwen-plus,0,4467,317,3,5,6,4,8,1,7,2
fa70adef-58b4-408f-94a7-1217ac65446d,2025-03-27 21:19:48.212422+00:00,qwen,qwen-plus,0,4465,325,7,1,3,2,6,5,8,4
34a37065-575e-485f-bb30-0b09fd9414fb,2025-03-27 21:19:58.488828+00:00,qwen,qwen-plus,0,4465,317,1,6,5,4,8,2,7,3
3ad4e82f-fa35-4354-89f9-f490ccc23f17,2025-03-27 21:20:08.456570+00:00,qwen,qwen-plus,0,4467,329,6,5,4,2,7,1,8,3
93c3586e-6eaf-4478-9488-deae15553844,2025-03-27 21:20:18.954026+00:00,qwen,qwen-plus,0,4464,317,6,2,3,5,8,1,7,4
a0afff3f-ee8d-46bf-a71f-9c5f73379efb,2025-03-27 21:20:29.352238+00:00,qwen,qwen-plus,0,4467,315,3,7,1,6,4,2,8,5
0c67b00f-03eb-49cb-af49-9194e9e3dca9,2025-03-27 21:20:40.127107+00:00,qwen,qwen-plus,0,4467,319,2,3,5,7,1,6,8,4
448d2eaa-5530-4a18-9003-43d70118d7d1,2025-03-27 21:20:52.850138+00:00,qwen,qwen-plus,0,4467,325,6,5,2,1,7,4,8,3
96d3f053-47a2-488b-bfd2-96da35963869,2025-03-27 21:21:04.223573+00:00,qwen,qwen-plus,0,4467,319,5,3,4,6,8,1,7,2
8b7c3a1d-616a-4db3-9fdd-5252b1614194,2025-03-27 21:21:14.934880+00:00,qwen,qwen-plus,0,4465,318,6,5,2,4,8,1,7,3
b057d9f3-64a8-4fd7-a37b-449e82503be4,2025-03-27 21:21:25.865051+00:00,qwen,qwen-plus,0,4467,320,5,2,4,7,6,1,8,3
fa02375e-496b-49ee-b9bd-b7be890d05f5,2025-03-27 21:21:36.629810+00:00,qwen,qwen-plus,0,4465,322,7,4,6,3,1,2,8,5
36d9a30d-23dc-4ec4-b242-f67dbff114a0,2025-03-27 21:21:47.575321+00:00,qwen,qwen-plus,0,4467,322,2,5,4,6,8,3,7,1
9cf926b6-3503-486f-a2de-9603e5daf6d4,2025-03-27 21:21:58.985438+00:00,qwen,qwen-plus,0,4467,316,5,2,4,3,7,1,8,6
0d1f73d3-aa03-4b71-aa2f-ee71366fb09f,2025-03-27 21:22:09.756944+00:00,qwen,qwen-plus,0,4467,316,7,6,5,3,1,2,8,4
9f923ac7-f2a5-4c25-8607-bdb2d5d67ade,2025-03-27 21:22:20.858507+00:00,qwen,qwen-plus,0,4467,318,6,3,5,4,7,2,8,1
86413bfc-8d8a-4c5b-a3fa-cbb7e8fa9d03,2025-03-27 21:22:31.305778+00:00,qwen,qwen-plus,0,4467,328,6,2,4,5,7,3,8,1
883a363d-5a27-4a2a-8575-171027dd40b6,2025-03-27 21:22:43.337558+00:00,qwen,qwen-plus,0,4467,329,4,6,5,2,7,3,8,1
5ac0d10e-6fe2-4577-a456-18c294e4efd2,2025-03-27 21:22:54.346761+00:00,qwen,qwen-plus,0,4467,322,4,6,3,1,7,5,8,2
fca00622-8b88-45db-983a-ea407631eb3f,2025-03-27 21:23:07.310838+00:00,qwen,qwen-plus,0,4467,317,4,3,2,1,7,5,8,6
24b0e2a5-4a8e-4601-9a1d-a0c75bd71bb2,2025-03-27 21:23:17.726162+00:00,qwen,qwen-plus,0,4467,323,7,4,1,3,6,5,8,2
