cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. The kind of government that we have, with no major changes","P2. Government with guaranteed involvement by all social groups, especially those representing disadvantaged minorities, in policy making","P3. A government with constitutional rules specifying its main task is to ensure that economic markets work well, and that government intervenes as little in society beyond that",P4. Government with strong leaders and legislation that ensures that proper moral principles are observed in society.,"P5. Government that abolishes all policies that give special benefits to minority groups, and instead ensures equal influence for all Australians"
9f5430d3-4b59-4468-b528-7eeca6900bd7,2025-03-20 10:54:28.303952+00:00,google,gemini-2.0-flash,0,5263,337,1,2,4,5,3
c3574463-bbf6-48ca-8152-ac8000fd033e,2025-03-20 10:54:33.177964+00:00,google,gemini-2.0-flash,0,5251,330,1,4,2,5,3
9d4b721e-e583-4170-990d-37b5ed0dd499,2025-03-20 10:54:37.770508+00:00,google,gemini-2.0-flash,0,5275,341,3,1,2,5,4
35fab46e-6625-4aab-97d2-bb8cedc2249d,2025-03-20 10:54:42.781129+00:00,google,gemini-2.0-flash,0,5259,332,3,1,4,5,2
b96882c7-08dc-4ec8-a935-36e31c708ee1,2025-03-20 10:54:47.719104+00:00,google,gemini-2.0-flash,0,5255,330,4,1,3,5,2
a2d46af6-2f47-4e1c-b716-12f044fb7400,2025-03-20 10:54:52.598586+00:00,google,gemini-2.0-flash,0,5257,338,3,1,4,5,2
1f060735-506d-4dd2-aab5-58ccbdfd53ba,2025-03-20 10:54:57.656947+00:00,google,gemini-2.0-flash,0,5257,334,5,4,2,1,3
99c4dac4-27a0-4850-8819-e8c76f80a88d,2025-03-20 10:55:02.232009+00:00,google,gemini-2.0-flash,0,5265,337,3,2,5,1,4
094d67c1-833a-464a-a2f5-e52cfc8ce72b,2025-03-20 10:55:07.302191+00:00,google,gemini-2.0-flash,0,5257,335,1,2,3,5,4
39b3a7d4-b3a0-4df3-a031-6555c159ea40,2025-03-20 10:55:11.998174+00:00,google,gemini-2.0-flash,0,5255,332,1,2,3,5,4
2550269e-e3b9-4a0d-aa67-29188b234738,2025-03-25 13:49:37.759557+00:00,google,gemini-2.0-flash,0,5263,337,1,2,4,5,3
bac9e220-0ae0-46bd-befb-3fb1bddb3794,2025-03-25 13:49:41.945664+00:00,google,gemini-2.0-flash,0,5261,334,1,4,2,5,3
8d7ec611-e1f6-48cf-b2b8-4a272ba8cf66,2025-03-25 13:49:45.593332+00:00,google,gemini-2.0-flash,0,5275,341,3,1,2,5,4
02ac556e-78ff-4250-98ea-0abce1d67957,2025-03-25 13:49:49.627944+00:00,google,gemini-2.0-flash,0,5259,330,3,1,4,5,2
00f6de17-bd25-42cf-838c-60cb490a4713,2025-03-25 13:49:53.553507+00:00,google,gemini-2.0-flash,0,5255,330,4,1,3,5,2
d56739bb-f665-4f4d-b879-58ff54811f57,2025-03-25 13:49:57.678583+00:00,google,gemini-2.0-flash,0,5257,338,3,1,4,5,2
7169aa56-0b27-4462-b249-43cfd0765bca,2025-03-25 13:50:01.806132+00:00,google,gemini-2.0-flash,0,5253,332,5,4,3,1,2
778229d5-245d-4d38-8d81-b4eb0feb3ce3,2025-03-25 13:50:05.309325+00:00,google,gemini-2.0-flash,0,5265,339,3,2,5,1,4
3b93e147-f8f1-49de-8549-4a2425074abe,2025-03-25 13:50:09.564830+00:00,google,gemini-2.0-flash,0,5255,328,1,2,4,5,3
70ca8b86-e985-4734-85a6-7b968b2c3cdf,2025-03-25 13:50:13.142176+00:00,google,gemini-2.0-flash,0,5255,333,1,2,3,5,4
bcd0d5fe-ae9c-4a22-b1bc-ac0dd2576442,2025-03-27 09:26:21.442975+00:00,google,gemini-2.0-flash,0,5263,335,1,2,4,5,3
2fc9c102-4aee-4454-a14b-96b852ee9d1c,2025-03-27 09:26:25.573832+00:00,google,gemini-2.0-flash,0,5261,340,1,3,2,5,4
bf5c2b76-d59d-40d6-ae14-ae074f7b2719,2025-03-27 09:26:29.184055+00:00,google,gemini-2.0-flash,0,5275,340,3,1,2,5,4
b189749e-e1a8-4392-a450-9c3140e113fc,2025-03-27 09:26:33.290617+00:00,google,gemini-2.0-flash,0,5259,331,3,1,4,5,2
b2c7976c-4b36-4c1c-9321-1543590ead47,2025-03-27 09:26:37.256778+00:00,google,gemini-2.0-flash,0,5255,330,4,1,3,5,2
7805a356-72c8-4120-9f85-163c26fee81f,2025-03-27 09:26:41.395756+00:00,google,gemini-2.0-flash,0,5257,333,3,1,4,5,2
e94c4058-55db-4bef-b4d7-f19a6338b63a,2025-03-27 09:26:45.504986+00:00,google,gemini-2.0-flash,0,5253,332,5,4,3,1,2
01cb1e43-1a6f-4d12-9740-422df6a97bde,2025-03-27 09:26:49.267873+00:00,google,gemini-2.0-flash,0,5263,337,3,4,5,1,2
24e75357-fb30-4802-83a5-458beea328c1,2025-03-27 09:26:53.367369+00:00,google,gemini-2.0-flash,0,5255,333,1,2,4,5,3
eeaff97e-b174-44fd-b57b-28ec62f80a8e,2025-03-27 09:26:57.025787+00:00,google,gemini-2.0-flash,0,5255,332,1,2,3,5,4
