cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
969e2890-ec47-408c-96a8-b21673cf0a9d,2025-03-20 17:40:40.129085+00:00,meta,llama3.2,0,0,0,6,7,3,1,5,2,4
8bbcdbd7-01e1-4be1-a1be-707b56a77e2b,2025-03-20 17:40:48.875540+00:00,meta,llama3.2,0,0,0,6,4,3,7,2,5,1
98769fe4-59df-409e-af6d-894e14fd19b5,2025-03-20 17:40:57.185343+00:00,meta,llama3.2,0,0,0,2,7,1,3,6,5,4
489595be-fc56-4f3f-8795-ebc18e708dca,2025-03-20 17:41:05.555910+00:00,meta,llama3.2,0,0,0,4,1,6,2,5,3,7
0d813ef2-96fc-4b19-b475-e0021e10dde1,2025-03-20 17:41:14.097746+00:00,meta,llama3.2,0,0,0,6,4,1,2,3,7,5
23453804-22d5-40b7-961c-c0092c60394d,2025-03-20 17:41:22.508641+00:00,meta,llama3.2,0,0,0,7,1,4,2,6,3,5
06002728-54ec-404d-a075-443961da9fd9,2025-03-20 17:41:30.942844+00:00,meta,llama3.2,0,0,0,5,1,2,7,3,4,6
fe00819e-124a-4e25-89f2-b003fc9e3508,2025-03-20 17:41:40.212000+00:00,meta,llama3.2,0,0,0,3,7,4,2,1,6,5
6a0734ae-9231-4b12-8526-4905c24ec3bd,2025-03-20 17:41:48.792261+00:00,meta,llama3.2,0,0,0,1,7,6,2,3,4,5
6887d233-fb89-4bcb-96a2-248f461e0509,2025-03-20 17:51:04.185264+00:00,meta,llama3.2,0,0,0,5,7,6,3,1,2,4
5da4347e-9aa4-4fe4-a9a0-2f1503ef82e2,2025-03-20 17:51:18.116515+00:00,meta,llama3.2,0,0,0,2,6,5,3,1,4,7
3f2c5bf0-4b6f-4166-af61-552169156adf,2025-03-20 17:51:33.167753+00:00,meta,llama3.2,0,0,0,5,6,3,1,4,2,7
c6230146-9157-4638-8027-92ffd1bcbc31,2025-03-20 17:51:45.167830+00:00,meta,llama3.2,0,0,0,4,7,6,3,5,2,1
