cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Ban Begging within Sweden,P2. Deport any immigrants found begging on the streets who have stayed in Sweden longer than three months,P3. Enforce existing laws without special consideration for beggars,P4. Forbid giving money to beggars,P5. Focus resources on addressing the the problem in source countries such as Romania,P6. Ban Illegal Settlements,P7. Provide accommodation for beggars (more)
65724e21-ff17-429b-a5b6-ccb475760375,2025-03-26 08:14:36.335211+00:00,anthropic,claude-3-opus-20240229,0,3810,274,7,4,3,6,1,5,2
33b0cc8d-4bf0-4f21-bd26-09dcde6cb197,2025-03-26 08:14:51.642421+00:00,anthropic,claude-3-opus-20240229,0,3810,272,6,7,2,3,1,4,5
15f26776-ac71-422e-a4a9-053921b21a16,2025-04-02 08:18:49.722618+00:00,anthropic,claude-3-opus-20240229,0,3810,274,7,4,3,6,1,5,2
3d5dec2c-cc9d-487c-a25e-e7f32f8bf053,2025-04-02 08:19:04.199113+00:00,anthropic,claude-3-opus-20240229,0,3810,272,6,7,2,3,1,4,5
1d296a87-2a3f-4eaa-bed5-b96567c2ae6a,2025-04-02 08:19:19.868122+00:00,anthropic,claude-3-opus-20240229,0,3810,273,5,6,3,7,1,4,2
ad37fce4-b90c-4cc3-bf51-4eec45ccc856,2025-04-02 08:19:34.771336+00:00,anthropic,claude-3-opus-20240229,0,3810,270,5,6,3,7,1,4,2
d13b3fc1-773f-4ddb-b5b7-1b6ae2f99e6a,2025-04-02 08:19:48.733105+00:00,anthropic,claude-3-opus-20240229,0,3810,272,4,7,3,5,1,6,2
4bd35950-5ab2-40f3-81ea-2e414d562617,2025-04-02 08:20:02.950754+00:00,anthropic,claude-3-opus-20240229,0,3810,272,6,2,5,7,1,3,4
b49aca1e-1c55-4d7e-a2a4-a4881d2d5424,2025-04-02 08:20:17.137268+00:00,anthropic,claude-3-opus-20240229,0,3810,274,6,4,3,7,1,5,2
7a1f71e8-a875-41f3-a1c3-5a8950cf42af,2025-04-02 08:20:33.211703+00:00,anthropic,claude-3-opus-20240229,0,3810,272,5,6,3,7,1,4,2
c51ff486-65f8-4b1e-8063-a14b10e2c0a5,2025-04-02 08:20:46.576539+00:00,anthropic,claude-3-opus-20240229,0,3810,273,6,4,3,7,1,5,2
74ca0c11-36bb-4cc1-b78e-5f2c63002d70,2025-04-02 08:21:00.576455+00:00,anthropic,claude-3-opus-20240229,0,3810,272,7,6,2,5,1,4,3
4c287180-9260-4ac5-848c-039ad7e4bb51,2025-04-02 11:03:07.706172+00:00,anthropic,claude-3-opus-20240229,0,3810,274,7,4,3,6,1,5,2
a0a3fddb-0611-4e27-b4ea-c715bf85dec7,2025-04-02 11:03:22.293207+00:00,anthropic,claude-3-opus-20240229,0,3810,272,6,7,2,3,1,4,5
19a227a4-c7a5-4961-afae-031eb1966e2c,2025-04-02 11:03:35.434838+00:00,anthropic,claude-3-opus-20240229,0,3810,273,5,6,3,7,1,4,2
92e53731-8e85-40a0-8776-80f6c4891620,2025-04-02 11:03:49.808551+00:00,anthropic,claude-3-opus-20240229,0,3810,270,5,6,3,7,1,4,2
4c78cabc-f5a3-4e80-b9ee-00abc1bc419f,2025-04-02 11:04:04.034507+00:00,anthropic,claude-3-opus-20240229,0,3810,272,4,7,3,5,1,6,2
5906ed7f-3762-4c03-a896-83d4752d8164,2025-04-03 08:06:16.176471+00:00,anthropic,claude-3-opus-20240229,0,3810,274,7,4,3,6,1,5,2
39e6f3b7-a7ae-4e9d-99b1-7bcac8977177,2025-04-03 08:06:33.251910+00:00,anthropic,claude-3-opus-20240229,0,3810,272,6,7,2,3,1,4,5
40aca032-868c-4be0-8d20-7d4ac04bc347,2025-04-03 08:06:47.668521+00:00,anthropic,claude-3-opus-20240229,0,3810,273,5,6,3,7,1,4,2
860efd51-3802-4830-9adc-6c878f25500d,2025-04-03 08:07:03.824024+00:00,anthropic,claude-3-opus-20240229,0,3810,274,5,6,3,7,1,4,2
68e6ec0d-9899-420c-a883-36fae0909eda,2025-04-03 08:07:17.751867+00:00,anthropic,claude-3-opus-20240229,0,3810,275,4,7,3,5,1,6,2
a6748c7f-d10e-4a42-b0e2-cced18a63776,2025-04-03 08:07:33.493905+00:00,anthropic,claude-3-opus-20240229,0,3810,272,6,2,5,7,1,3,4
3fad97b1-cad2-43c4-8118-15571cd2f6ec,2025-04-03 08:07:47.680551+00:00,anthropic,claude-3-opus-20240229,0,3810,274,6,4,3,7,1,5,2
ce666bd7-3f4f-4ee5-b12d-ab04aee11c8e,2025-04-03 08:08:01.308259+00:00,anthropic,claude-3-opus-20240229,0,3810,272,5,6,3,7,1,4,2
30fefce7-56f4-4ad4-ba8d-fa4c3388b967,2025-04-03 08:08:18.036759+00:00,anthropic,claude-3-opus-20240229,0,3810,273,6,4,3,7,1,5,2
618643ec-b8cb-4927-8838-3de109eeba28,2025-04-03 08:08:31.390109+00:00,anthropic,claude-3-opus-20240229,0,3810,272,7,6,2,5,1,4,3
1b7a2498-e984-4213-9206-d89e6a7642c4,2025-04-03 08:08:45.522002+00:00,anthropic,claude-3-opus-20240229,0,3810,274,4,7,3,5,1,6,2
3116ed5d-e429-4c72-8976-ff55cd229c77,2025-04-03 08:09:00.399931+00:00,anthropic,claude-3-opus-20240229,0,3810,272,7,2,3,5,1,6,4
65da8195-906b-4f21-a06c-ab35874424aa,2025-04-03 08:09:13.849931+00:00,anthropic,claude-3-opus-20240229,0,3810,274,5,7,4,6,1,3,2
