cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
6da18dc0-cd1f-4e5f-bde5-4827e7b25756,2025-04-03 12:34:58.280200+00:00,google,gemma3:12b,0,0,0,3,7,2,4,6,1,8,5
6a41d6b2-a802-4e0e-b066-013097b2b959,2025-04-03 12:35:30.670287+00:00,google,gemma3:12b,0,0,0,5,4,3,1,8,2,6,7
e9c132e5-e4f5-454c-b8b9-d214dc924c4e,2025-04-03 12:36:02.904220+00:00,google,gemma3:12b,0,0,0,1,8,3,4,6,5,7,2
ef6943b5-32b4-4737-90ff-264e5541ef5c,2025-04-03 12:36:34.861957+00:00,google,gemma3:12b,0,0,0,7,6,3,1,4,2,8,5
ac7be910-f915-4cef-af12-4206cca7e764,2025-04-03 12:37:06.470616+00:00,google,gemma3:12b,0,0,0,2,5,7,3,6,1,4,8
d6ef43ac-9c73-46ef-af17-828066d082c1,2025-04-03 12:37:37.765924+00:00,google,gemma3:12b,0,0,0,3,8,7,2,4,6,1,5
c68f5665-6c28-47f3-bd43-4cd85b194967,2025-04-03 12:38:09.250844+00:00,google,gemma3:12b,0,0,0,5,6,2,4,7,1,8,3
e65152a0-660b-45fa-8603-406f00902392,2025-04-03 12:38:40.503265+00:00,google,gemma3:12b,0,0,0,5,8,4,3,7,1,6,2
a24ff396-e807-48d7-9f2f-1580e0b4ce96,2025-04-03 12:39:12.224852+00:00,google,gemma3:12b,0,0,0,6,1,5,2,7,3,8,4
e600cc59-a8fe-4063-9d26-8f6747d9d390,2025-04-03 12:39:44.303529+00:00,google,gemma3:12b,0,0,0,7,3,5,2,1,4,8,6
3170b907-d779-415c-b0f0-a71d3dfd0485,2025-04-03 15:35:50.581950+00:00,google,gemma3:12b,0,0,0,2,6,7,1,4,5,8,3
b4df0c0d-7f4d-4465-8e29-5c0e7e6f8277,2025-04-03 15:36:24.908229+00:00,google,gemma3:12b,0,0,0,5,1,2,4,7,3,8,6
17b36231-2f3d-4a81-a0ef-9c82b3c2acd6,2025-04-03 15:36:58.915050+00:00,google,gemma3:12b,0,0,0,2,5,3,8,7,1,6,4
dd63444f-0431-4879-a6e4-6f60b0e57318,2025-04-03 15:37:32.410118+00:00,google,gemma3:12b,0,0,0,8,1,5,2,7,4,6,3
881381c5-1b91-47a1-9d42-3baeda3177a0,2025-04-03 15:38:06.043523+00:00,google,gemma3:12b,0,0,0,7,4,2,8,6,1,3,5
93062a35-d5e9-453b-9637-bdf93b35dbbb,2025-04-03 15:38:39.094766+00:00,google,gemma3:12b,0,0,0,3,5,7,8,2,1,6,4
60deab8d-552b-473b-9b74-0cb4fc1497bc,2025-04-03 15:39:13.594335+00:00,google,gemma3:12b,0,0,0,6,5,3,8,1,4,2,7
397b8c76-802c-4b34-a95b-39845b35e97c,2025-04-03 15:40:19.982054+00:00,google,gemma3:12b,0,0,0,7,6,8,4,5,3,2,1
82a2f917-bf5e-466b-9298-9a23460d1c50,2025-04-03 15:40:53.137597+00:00,google,gemma3:12b,0,0,0,4,2,3,8,6,1,5,7
dc8c499d-8181-43d2-b3a6-a48e39b4ccd2,2025-04-03 15:41:27.017008+00:00,google,gemma3:12b,0,0,0,6,7,4,8,5,3,1,2
24c7a91d-1e16-401b-87be-285d1887fc01,2025-04-03 15:42:00.549234+00:00,google,gemma3:12b,0,0,0,4,7,3,6,2,1,8,5
b73396de-3b85-44ba-a2f5-f8867cc9b40b,2025-04-03 15:42:33.804311+00:00,google,gemma3:12b,0,0,0,7,5,3,6,1,2,8,4
8c874bf7-2258-44bf-8aac-fe6eebd34fab,2025-04-03 15:43:07.134928+00:00,google,gemma3:12b,0,0,0,6,7,4,5,2,1,8,3
2919109d-7c41-4e7b-977e-729a69ab4885,2025-04-03 15:43:40.262803+00:00,google,gemma3:12b,0,0,0,3,4,8,1,6,2,5,7
f3069b5d-d06d-49a7-916f-64d3af58a55c,2025-04-03 15:44:15.750603+00:00,google,gemma3:12b,0,0,0,8,2,5,3,4,6,1,7
90245dbf-ba9f-4f87-8d55-09d1d0f23b38,2025-04-03 15:44:48.389737+00:00,google,gemma3:12b,0,0,0,5,4,7,1,3,2,8,6
44600f7d-47ef-43b5-8c46-770958a787d6,2025-04-03 15:45:21.955281+00:00,google,gemma3:12b,0,0,0,8,2,6,5,3,4,7,1
dde16a9b-b2f4-4b29-9c8f-0c615dcffc86,2025-04-03 15:45:55.567084+00:00,google,gemma3:12b,0,0,0,1,8,3,5,7,2,6,4
65b5663c-190b-4878-92ac-57cb7d8187c2,2025-04-03 15:46:29.848217+00:00,google,gemma3:12b,0,0,0,3,5,8,6,2,7,1,4
d0bba0b9-ea08-4e87-9345-81ce288e83f4,2025-04-03 15:47:02.997982+00:00,google,gemma3:12b,0,0,0,4,5,8,2,7,3,6,1
f9bafe85-4635-47cf-8876-c795122f7b9c,2025-04-03 15:47:36.087306+00:00,google,gemma3:12b,0,0,0,8,5,6,3,4,7,1,2
