cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Permit all uses of human genome editing and mitochondrial donation only if not for profit,"P2. Prohibit all forms of human genome editing for now, except for research purposes.",P3.  Permit only non-heritable human genome editing in both research and in clinics.,"P4. Permit only non-heritable human genome editing for clinical treatments, and mitochondrial donation.",P5.  Permit both heritable and non-heritable uses of genome editing for any purpose with minimal restrictions to ensure safety and compliance with ethical standards.,"P6. Permit non-heritable and heritable human genome editing (including mitochondrial donation), but only for clinical purposes, and if there is strong oversight, regular community input and (re)approval.",P7. Prohibit all uses of human genome editing and mitochondrial donation.,P8. Permit only non-heritable human genome editing in both research and in clinics and mitochondrial donation only if not for profit.
16e2f5e5-5f0e-411e-af44-9970a9babcc0,2025-04-02 11:18:36.854443+00:00,qwen,qwq-plus,0,4467,6729,4,7,1,2,5,8,6,3
a5ed2e5d-7dc3-409c-addc-d5f2f19e2d03,2025-04-02 11:20:58.085910+00:00,qwen,qwq-plus,0,4467,4798,5,7,3,4,6,1,8,2
e22212f3-c1a0-40b7-8c03-51f9e760400b,2025-04-02 11:22:38.574132+00:00,qwen,qwq-plus,0,4467,6417,5,6,4,2,7,1,8,3
3808fe0c-462f-4028-b56f-d96d01475f77,2025-04-02 11:24:51.493499+00:00,qwen,qwq-plus,0,4467,6422,4,5,6,2,7,3,8,1
95a09fa0-6d71-42cb-bf35-dd4220458748,2025-04-02 11:27:04.869282+00:00,qwen,qwq-plus,0,4467,7849,4,8,7,6,1,5,2,3
2b556c60-63bf-4b25-85dc-a16b034750a3,2025-04-02 21:21:23.860274+00:00,qwen,qwq-plus,0,4465,6293,5,6,3,2,8,4,7,1
236d1731-3885-4fd1-b2c2-7eebcd402abf,2025-04-02 21:23:34.287921+00:00,qwen,qwq-plus,0,4467,7647,6,4,3,2,7,5,8,1
b8e159db-9f00-4754-95f5-d20eeba99e73,2025-04-02 21:26:12.652965+00:00,qwen,qwq-plus,0,4467,6882,5,6,1,3,8,4,7,2
2fb59458-df10-4b35-bcf1-9da360c3ff32,2025-04-02 21:28:34.541850+00:00,qwen,qwq-plus,0,4467,7349,8,4,3,1,6,7,2,5
aaa2e5dc-ee5e-40a7-bbd9-7f5bbd24b0ef,2025-04-02 21:31:06.880153+00:00,qwen,qwq-plus,0,4467,4857,8,2,6,3,7,1,4,5
2e001897-1cfa-47c3-ab30-1f99701b2abd,2025-04-02 21:32:48.054089+00:00,qwen,qwq-plus,0,4467,6615,2,7,6,1,3,5,8,4
bcf7e4c2-b8f9-4938-8a0b-e52a3b7eb4a3,2025-04-02 21:35:04.315131+00:00,qwen,qwq-plus,0,4465,6153,2,6,5,3,1,4,8,7
c8d5b9bf-1aa9-484c-8cfc-c166e837f75d,2025-04-02 21:37:11.044409+00:00,qwen,qwq-plus,0,4467,5011,5,6,4,3,7,1,8,2
cb777ef9-fc7e-4f9f-bfe7-fa199aefbc3c,2025-04-02 21:38:54.613941+00:00,qwen,qwq-plus,0,4467,5874,5,7,4,2,8,1,6,3
7fceb8ea-3600-4a15-8992-13371180f7fd,2025-04-02 21:40:56.592350+00:00,qwen,qwq-plus,0,4465,6826,5,6,3,2,7,4,8,1
08c165a1-b653-4857-9024-c15fe138f0f0,2025-04-03 13:24:03.940731+00:00,qwen,qwq-plus,0,4467,6951,5,6,1,2,8,3,7,4
4dffbd99-d466-455e-ad98-a56f4e162cab,2025-04-03 13:26:28.857047+00:00,qwen,qwq-plus,0,4467,6636,3,6,2,4,8,7,5,1
8e4efc58-e003-4aa6-921f-c81590b1dd12,2025-04-03 13:28:45.727072+00:00,qwen,qwq-plus,0,4467,8799,5,6,4,3,7,2,8,1
4fa2d3be-4bba-4e71-ab8b-f15312fe66e6,2025-04-03 13:31:48.018860+00:00,qwen,qwq-plus,0,4467,4163,2,3,1,6,8,4,5,7
4854e9f9-2e9b-452b-98b9-8782087fb908,2025-04-03 13:33:14.518995+00:00,qwen,qwq-plus,0,4467,5153,5,2,8,1,3,7,6,4
c796e07f-c97b-4015-8969-6a1938a7d62d,2025-04-03 13:35:01.995152+00:00,qwen,qwq-plus,0,4467,4813,5,7,8,3,6,1,2,4
93d5615a-fb42-4344-a921-f3930f0d8d74,2025-04-03 13:36:44.757306+00:00,qwen,qwq-plus,0,4464,7416,6,5,4,1,8,2,7,3
e5a34f8a-627a-431d-b8dc-f46129729209,2025-04-03 13:39:17.548777+00:00,qwen,qwq-plus,0,4467,6111,6,4,1,7,3,5,8,2
6b7f9a46-e818-4376-8dec-9ce85a66cddb,2025-04-03 13:41:23.994964+00:00,qwen,qwq-plus,0,4467,8003,7,4,5,1,6,3,8,2
930832d5-1c83-4f68-9128-e6fc3999b33a,2025-04-03 13:44:09.540656+00:00,qwen,qwq-plus,0,4467,9112,6,5,1,3,8,4,7,2
fb9e792e-b05e-478f-9594-72aead6e79ce,2025-04-03 13:47:16.829543+00:00,qwen,qwq-plus,0,4467,6079,7,1,3,4,8,5,2,6
