cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. Retain existing bridge, but replace the navigation spans and deteriorated components","P2. Retain existing bridge, but replace the navigation spans and deteriorated components and incorporate bridge widening","P3. Construct a new standard bridge next to the current bridge, leaving a section of the existing bridge as a heritage and recreation site","P4. Construct a new bridge that is a major entry statements for Fremantle, leaving a section of the existing bridge as a heritage recreation site",P5. Construct a new standard bridge and retain the existing bridge as a pedestrian/cyclist facility,P6. Construct a new two lane standard bridge and retain the existing bridge as a 2 lane bridge with improved pedestrian/cyclist facilities
d7f01bfe-5783-4c79-94b8-1e91ae64871f,2025-03-20 12:13:21.068542+00:00,google,gemini-1.5-flash-8b,0,3941,258,4,6,2,3,5,1
133ca41a-3960-4855-8765-92d5ce51a0ff,2025-03-20 12:13:25.552382+00:00,google,gemini-1.5-flash-8b,0,3941,261,6,5,1,3,4,2
31234b4b-3665-4664-a610-5075c47be05c,2025-03-20 12:13:29.876270+00:00,google,gemini-1.5-flash-8b,0,3949,265,1,4,6,2,3,5
a91fafa8-77f6-4785-a901-b927475247f9,2025-03-20 12:13:34.362014+00:00,google,gemini-1.5-flash-8b,0,3955,267,3,1,6,5,4,2
2470080d-b502-4ea6-bb96-2a2dfdfee19c,2025-03-20 12:13:38.755398+00:00,google,gemini-1.5-flash-8b,0,3945,257,6,5,3,4,2,1
db77fefb-5bc8-4e38-af54-9348da954a87,2025-03-20 12:13:43.165927+00:00,google,gemini-1.5-flash-8b,0,3953,262,1,4,6,5,2,3
e040d80b-0d9d-4114-831a-3f4806008d23,2025-03-20 12:13:47.470859+00:00,google,gemini-1.5-flash-8b,0,3939,255,1,4,3,5,2,6
b7cd2c3f-03fb-4308-98bc-16811b51ea89,2025-03-20 12:13:52.004212+00:00,google,gemini-1.5-flash-8b,0,3949,259,6,3,1,2,4,5
0b834ef0-aee7-4033-8d96-3fa6f6878444,2025-03-20 12:13:56.571577+00:00,google,gemini-1.5-flash-8b,0,3933,254,1,2,3,5,6,4
251e37fb-446f-436e-ae99-25e020bfd70c,2025-03-20 12:14:01.188788+00:00,google,gemini-1.5-flash-8b,0,3949,270,5,6,4,1,3,2
a5382ddd-0f5d-4807-abe6-df8360714ec5,2025-03-25 10:28:50.111539+00:00,google,gemini-1.5-flash-8b,0,3941,258,6,5,1,4,3,2
28230f2d-213f-41e5-b5a9-6f83c5e39efc,2025-03-25 10:28:53.574062+00:00,google,gemini-1.5-flash-8b,0,3949,261,5,6,1,2,3,4
55d0873e-fe2e-486e-9ffb-99297cee57fb,2025-03-25 10:28:57.060252+00:00,google,gemini-1.5-flash-8b,0,3937,260,6,1,5,4,2,3
165f7f10-87c3-42b1-abb7-be23010fe665,2025-03-25 10:29:00.641056+00:00,google,gemini-1.5-flash-8b,0,3937,255,5,6,1,2,3,4
929ca609-1037-4187-82d3-0869d1395510,2025-03-25 10:29:04.429483+00:00,google,gemini-1.5-flash-8b,0,3943,258,4,3,1,2,6,5
4ff805b2-9ca2-4874-907f-5374c7680b17,2025-03-27 09:34:59.429515+00:00,google,gemini-1.5-flash-8b,0,3937,260,1,6,3,2,5,4
0ec18b95-e125-4086-871c-7c8ba23da928,2025-03-27 09:35:02.880938+00:00,google,gemini-1.5-flash-8b,0,3947,259,1,2,5,6,4,3
621878bc-96a3-4c30-8511-f7f176b37321,2025-03-27 09:35:06.296074+00:00,google,gemini-1.5-flash-8b,0,3943,255,1,2,4,5,6,3
e09e1a76-9641-4401-a830-d176d2592f44,2025-03-27 09:35:09.475741+00:00,google,gemini-1.5-flash-8b,0,3937,258,6,1,2,3,5,4
4e74e36a-08c5-4ff1-99da-b2f34354f194,2025-03-27 09:35:12.743380+00:00,google,gemini-1.5-flash-8b,0,3935,255,6,5,1,4,3,2
d30af060-5e9e-4479-a288-24b618eed793,2025-03-27 09:35:16.097244+00:00,google,gemini-1.5-flash-8b,0,3941,256,6,1,2,4,3,5
1f77c31f-1150-4829-bd30-ee8b4781fe55,2025-03-27 09:35:19.455082+00:00,google,gemini-1.5-flash-8b,0,3947,262,2,1,4,3,5,6
461861a7-1499-48d0-9f4d-290da2caa4a1,2025-03-27 09:35:22.668337+00:00,google,gemini-1.5-flash-8b,0,3945,259,6,1,5,2,4,3
c3c6f34d-b8bb-4fa8-8229-bf667bcb2402,2025-03-27 09:35:26.128632+00:00,google,gemini-1.5-flash-8b,0,3949,263,2,1,4,5,3,6
c43b3f7e-1705-4e32-bea7-f992367d178f,2025-03-27 09:35:29.406548+00:00,google,gemini-1.5-flash-8b,0,3947,260,3,1,2,4,5,6
d4a45eab-8440-4190-a59f-bb36d3c596b3,2025-03-27 09:35:32.784043+00:00,google,gemini-1.5-flash-8b,0,3943,262,1,4,5,6,2,3
bdcf919e-8cc9-4886-9e0b-186fd5650ab8,2025-03-27 09:35:36.096379+00:00,google,gemini-1.5-flash-8b,0,3937,255,1,2,6,5,3,4
21925fe2-2d9a-4954-b8cf-cec77588eb29,2025-03-27 09:35:39.433529+00:00,google,gemini-1.5-flash-8b,0,3943,273,6,5,2,1,4,3
ac5bc26e-2aa3-4799-9d47-3d2c7d559cab,2025-03-27 09:35:42.656129+00:00,google,gemini-1.5-flash-8b,0,3945,263,4,6,1,3,5,2
5fa3e0ad-da85-4226-a2f2-772f13529da5,2025-03-27 09:35:46.094858+00:00,google,gemini-1.5-flash-8b,0,3939,261,5,4,3,1,6,2
f09fbad2-442e-486e-bd56-71d9a16b1555,2025-03-27 09:35:49.861448+00:00,google,gemini-1.5-flash-8b,0,3951,263,2,1,4,6,5,3
be96c91b-2eef-412d-b6f4-c47954376c49,2025-03-27 09:35:53.269320+00:00,google,gemini-1.5-flash-8b,0,3939,256,5,1,3,6,2,4
5279a78f-0753-48d4-9cdc-e64d8705b10e,2025-03-27 10:10:20.620225+00:00,google,gemini-1.5-flash-8b,0,3935,255,6,5,1,4,3,2
42286fc4-0241-44fc-aefe-8add22fe5b18,2025-03-27 10:10:23.955904+00:00,google,gemini-1.5-flash-8b,0,3949,261,5,6,1,2,3,4
7095c340-bc54-472a-896d-40fa4bdae4ea,2025-03-27 10:10:27.396625+00:00,google,gemini-1.5-flash-8b,0,3937,261,6,1,5,4,2,3
bc71537a-5305-4bba-b762-bd63b38c8d57,2025-03-27 10:10:31.044554+00:00,google,gemini-1.5-flash-8b,0,3943,254,5,6,1,2,3,4
60ea6143-fb2a-4699-b545-dddfd87b5c84,2025-03-27 10:10:34.396050+00:00,google,gemini-1.5-flash-8b,0,3943,258,4,3,1,2,6,5
