cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,"P3. ""Policies that involve a moderate reduction in CO₂ emissions (e.g., reducing emissions by 25% to 50% over the next 10 years).""","P4. ""Policies that involve a radical reduction in CO₂ emissions (e.g., reducing emissions by 50% to 100% over the next 10 years).""",P5. Adaptation policies and expenditure. Planning controls and emergency response programs.,"P6. Adaptation policies that target individual, small business or community-based actions (e.g., support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change.
f2057572-8961-4698-9244-2c109e623e7d,2025-03-20 15:42:22.455676+00:00,mistralai,open-mixtral-8x22b,0,3797,246,7,6,4,1,2,3,5
fb91d514-fed4-40ef-995d-a50e448095f6,2025-03-20 15:42:30.895160+00:00,mistralai,open-mixtral-8x22b,0,3797,249,6,7,4,5,3,1,2
6429a490-5125-42c1-aa3f-b200a507e5ba,2025-03-20 15:42:38.031374+00:00,mistralai,open-mixtral-8x22b,0,3797,244,7,6,3,1,4,2,5
91034ade-b638-497e-a413-00faef5ff7d5,2025-03-20 15:42:48.707093+00:00,mistralai,open-mixtral-8x22b,0,3797,245,7,6,4,2,3,1,5
71b9d0cc-78ad-4147-8018-697a466c09a2,2025-03-20 15:42:56.368773+00:00,mistralai,open-mixtral-8x22b,0,3797,244,6,7,5,2,4,3,1
1fedc703-e3e5-4673-af84-0b90a25e2e01,2025-03-20 15:43:03.456297+00:00,mistralai,open-mixtral-8x22b,0,3797,245,7,6,4,1,2,3,5
641c3734-c788-4909-9a30-81f61a24db45,2025-03-20 15:43:11.219508+00:00,mistralai,open-mixtral-8x22b,0,3797,249,5,7,3,2,4,1,6
d4aec475-95bf-4170-a0e2-fd8f4a0c71f2,2025-03-20 15:43:18.939332+00:00,mistralai,open-mixtral-8x22b,0,3797,247,6,7,4,5,3,2,1
f97ada3e-7993-4587-84ac-fa6ea17440cd,2025-03-25 11:41:24.505949+00:00,mistralai,open-mixtral-8x22b,0,3797,251,6,7,2,5,3,1,4
1a61d62b-bc03-4698-a7a9-53a35404572f,2025-03-25 11:41:30.332026+00:00,mistralai,open-mixtral-8x22b,0,3797,247,7,6,3,5,2,1,4
ac465ac8-0c27-4dfd-a8dd-6d502e1250ce,2025-03-25 11:41:36.296078+00:00,mistralai,open-mixtral-8x22b,0,3797,246,7,6,2,3,1,4,5
c29c4f81-8e6b-46dd-95e2-ac51d928e730,2025-03-25 11:41:40.974212+00:00,mistralai,open-mixtral-8x22b,0,3797,242,1,7,6,2,5,4,3
70e4ab8b-1a05-484b-b560-cf36fd8c330e,2025-03-25 11:41:45.508136+00:00,mistralai,open-mixtral-8x22b,0,3797,246,7,6,3,1,2,5,4
60f3e1cd-3b33-4554-85d3-62fec98a9f38,2025-03-25 11:41:49.687794+00:00,mistralai,open-mixtral-8x22b,0,3797,275,7,6,3,1,4,2,5
9bc2266a-83a7-4e23-a6a9-bb2872d1eb57,2025-03-25 11:41:54.834850+00:00,mistralai,open-mixtral-8x22b,0,3797,241,6,7,5,2,3,1,4
02bcd449-36ee-4de7-a609-7a411dcc5ca5,2025-03-25 11:42:01.054858+00:00,mistralai,open-mixtral-8x22b,0,3797,246,6,7,4,1,2,5,3
c78137f1-cfc6-405f-b2d2-eb5466fc1f25,2025-03-25 11:42:06.070303+00:00,mistralai,open-mixtral-8x22b,0,3797,250,7,6,2,1,5,3,4
581cbc31-02a4-4c34-a3db-88511eb15e86,2025-03-25 11:42:15.998517+00:00,mistralai,open-mixtral-8x22b,0,3797,242,7,6,5,2,1,3,4
48a5a354-30a9-440b-ba69-5c71bfc524da,2025-03-25 11:42:20.558951+00:00,mistralai,open-mixtral-8x22b,0,3797,252,6,7,3,1,5,4,2
5e013641-fed0-4756-b8b3-0a307523fa87,2025-03-25 11:42:27.647471+00:00,mistralai,open-mixtral-8x22b,0,3797,240,6,7,5,1,3,4,2
2ab8fb21-bd19-4bd1-9365-291749e12336,2025-03-25 11:42:33.526318+00:00,mistralai,open-mixtral-8x22b,0,3797,236,6,7,4,5,2,1,3
9fab3b60-d06a-44d7-bc45-9660a5157ddd,2025-03-25 11:42:39.090666+00:00,mistralai,open-mixtral-8x22b,0,3797,241,7,6,2,1,3,5,4
bb6f6321-b48c-4b52-919e-4a04d1aa1aa0,2025-03-25 11:42:43.958369+00:00,mistralai,open-mixtral-8x22b,0,3797,239,7,6,4,1,3,2,5
af25e2f1-cc92-40cd-b0a0-123971029b4f,2025-03-25 11:42:48.573510+00:00,mistralai,open-mixtral-8x22b,0,3797,246,7,6,4,1,3,5,2
cda78181-f2ef-4790-ac17-a1c233116b1a,2025-03-25 11:42:54.200036+00:00,mistralai,open-mixtral-8x22b,0,3797,237,6,7,5,3,2,1,4
9b01e6a4-1f94-4ea0-8841-cc7d4b6e4762,2025-03-25 11:42:59.169788+00:00,mistralai,open-mixtral-8x22b,0,3797,245,6,7,3,5,2,1,4
7c7fd4eb-a416-42f9-9f1e-f57cf6971fce,2025-03-25 11:43:04.030890+00:00,mistralai,open-mixtral-8x22b,0,3797,247,6,7,5,2,4,3,1
9a0d4dbc-e9f6-4041-bc35-e2a6f96cdaeb,2025-03-27 11:45:06.893820+00:00,mistralai,open-mixtral-8x22b,0,3797,245,6,7,3,5,1,2,4
1a6053e7-2c70-4474-8ef2-865d644ced02,2025-03-27 11:45:12.165573+00:00,mistralai,open-mixtral-8x22b,0,3797,245,7,6,3,1,4,5,2
cea04219-5f3a-4bef-8fc3-ebfc79184ce1,2025-03-27 11:45:18.041324+00:00,mistralai,open-mixtral-8x22b,0,3797,248,6,7,4,5,3,2,1
281ce511-16fe-4021-97f0-e0cfbc38cdd7,2025-03-27 11:45:23.264718+00:00,mistralai,open-mixtral-8x22b,0,3797,249,7,6,3,1,5,4,2
6b73fc3a-62c1-47e2-8689-184255733921,2025-03-27 11:45:28.282805+00:00,mistralai,open-mixtral-8x22b,0,3797,244,6,7,3,5,1,4,2
0d310bf4-57e1-4037-adcc-19cda271c381,2025-03-27 11:45:32.640511+00:00,mistralai,open-mixtral-8x22b,0,3797,245,7,3,6,1,4,5,2
57a09d88-f0be-438d-b6a0-5a62af9b0553,2025-03-27 11:45:36.961502+00:00,mistralai,open-mixtral-8x22b,0,3797,246,7,6,2,1,4,5,3
