cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"C1. Public funds should pay for biobanks, instead of private companies.",C2. The community that provides samples for research should receive improved medical services in return.,C3. People should be paid for providing their samples to a biobank.,C4. Information about people's genes and the traits they inherit from their parents is more private than their medical records.,C5. The confidentiality of personal medical information is critical in any circumstance where research is being conducted.,C6. High-priced genetic research is diverting funds that could be used to promote public health in other ways.,C7. Race is a useful topic for genetic studies,C8. Collecting samples from people in an ethnic or cultural group is acceptable only if the whole group has agreed to participate.,C9. Religious groups need to be asked for their views about biobanks and genetic research.,C10. Genetic studies will lead to the discrimination of people living with genetic conditions or disabilities.,C11. Genetic studies of race on ethnic or cultural groups will lead to the discrimination of those groups.,C12. The priorities for health should be to reduce inequalities and the burden of disease.,C13. Biobanks are valuable even if they only advance science (e.g. provide new information about diseases) and do not lead to treatments or cures.,"C14. It is always acceptable to do research on samples that identify me, without my prior permission.",C15. There is no point asking the public for their views on the ethical issues in science and technology.,C16. Genetic research will improve our lives.,C17. Deciding how to regulate biobanks should be left to the government.,C18. There is no risk to the people who provide samples and information to biobanks.,C19. Policy makers need to consider whether WA should not have biobanks.,C20. My sample should never be permanently anonymized since I should be contacted about important research results,C21. Researchers and institutions (e.g. hospitals and universities) should be allowed to use samples for research but they should not own them.,C22. I should be asked for my permission every time researchers want to use my samples for research,C23. There must be special consideration of the views of Aboriginal people towards healthcare and genetic research.,C24. Improved health is more likely to come from educating people about their diet and lifestyle than from biobanks.,C25. People with a [chronic disease or] genetic condition in their family have a responsibility to be involved in genetic research.,C26. People should always be able to withdraw their sample from research at any time.,C27. I should have property rights to my tissues before and after they leave my body,C28. People who provide samples for research should get special access to the treatments that result from this research.,C29. Permission from the indigenous community must be sought if samples are collected from indigenous peoples.,C30. People who provide samples should be active in the set up and ongoing management of biobanks.,C31. Biobanks will only lead to high profits and expensive treatments that most people can't afford.,"C32. I do not mind if researchers have access to my samples, when there is no way I can be identified.","C33. I trust independent research ethics committees, which are not connected to the biobank in anyway, to decide whether research is ethical and approve who gets access to my samples.",C34. I trust researchers to make sure only approved people get access to my samples,C35. We should all provide samples to biobanks because it will benefit everyone.,C36. I do not mind if my sample is connected to my name and medical information.,C37. The fact that we cannot predict what biobanks will be used for in the future bothers me.,C38. Profits from biobanking should be shared in some way with the community who provided the samples.,"C39. Biobanks need to be monitored and reviewed by external, independent people to prevent the misuse of data and samples.","C40. The biobank owner should be able to sell any information they have about my genes, if they want to.","C41. I don't mind if my samples are connected to my medical records without my prior permission, so long as researchers don't get access to any data that identifies me.",C42. I trust biobanks with managers who are independent of researchers to make sure only approved people get access to my samples,C43. It's OK if data that identifies me is stored in a separate database and replaced in the biobank by a unique non-identifying code.,C44. Commercial companies should keep all the profits they make from biobanking because they take the financial risks and put up the money to develop new drugs and treatments.,"C45. Commercial companies should get access to biobanks, otherwise new drugs and treatments will not be developed.",C46. It is acceptable for samples and information that doesn't identify me to be sent to researchers overseas.,C47. People should be told if commercial companies could get access to their samples and information.,C48. The public will be more protected if biobanks are government-funded not privately funded.,C49. Biobanks are valuable because they promise huge benefits for our economy.
73bdade0-8386-4ef2-b724-91f5cec1501a,2025-03-27 16:40:38.315832+00:00,qwen,qwen-turbo,0,5125,343,8,8,5,10,10,7,4,7,8,9,9,9,7,2,3,8,7,3,6,10,9,9,8,6,7,10,9,4,8,7,5,6,9,8,3,4,7,8,10,2,4,8,5,3,6,6,8,8,7
d5132153-ba29-42d7-be28-3122c081be33,2025-03-27 16:40:44.020653+00:00,qwen,qwen-turbo,0,5121,339,8,6,4,9,10,5,2,6,7,3,3,8,9,2,2,8,8,2,5,3,7,6,8,4,7,9,7,5,9,8,3,6,10,7,9,4,4,6,10,2,5,7,8,2,4,7,9,8,5
91678721-ee01-4814-8c97-460d837e95f3,2025-03-27 19:49:42.037938+00:00,qwen,qwen-turbo,0,5143,350,10,9,4,9,10,4,5,11,10,8,8,8,8,2,2,10,10,2,5,3,10,2,11,3,8,11,8,7,11,9,3,6,10,7,7,4,7,9,11,2,5,9,6,3,5,6,10,11,6
e723307c-0816-454a-965c-41c45a75b6c0,2025-03-27 19:49:47.752431+00:00,qwen,qwen-turbo,0,5125,341,9,7,4,11,10,5,3,6,8,8,8,7,8,2,3,9,8,2,2,6,8,5,10,3,7,9,8,5,10,7,4,5,8,6,7,3,5,7,10,2,4,6,5,3,4,7,6,9,9
b9aad928-423b-4e0d-b239-d377e719a952,2025-03-27 19:49:53.504765+00:00,qwen,qwen-turbo,0,5130,344,7,6,4,9,11,4,3,10,7,8,8,5,7,2,2,9,6,3,5,9,8,10,10,3,6,10,9,5,10,7,4,6,11,8,5,2,9,6,11,2,4,8,5,3,4,7,10,7,4
f82a746b-99b3-4751-806c-549bfe7b25bf,2025-03-27 19:49:59.347111+00:00,qwen,qwen-turbo,0,5136,350,10,8,4,11,11,4,5,3,11,7,7,11,10,2,2,9,8,2,4,2,9,4,11,3,6,11,5,5,3,8,3,6,10,10,5,2,6,7,11,2,3,9,8,2,6,7,9,10,7
6ee6fa83-3359-493a-b8da-2e636b2fabb0,2025-03-27 19:50:05.485496+00:00,qwen,qwen-turbo,0,5145,351,8,9,4,11,11,4,5,11,11,3,3,6,9,1,2,8,7,2,5,11,9,11,11,4,9,11,10,7,11,10,3,9,10,8,5,2,3,10,11,1,4,8,6,3,6,7,10,9,6
3393dd48-0864-41f2-9a47-a52cbddadc0b,2025-03-27 19:50:11.418389+00:00,qwen,qwen-turbo,0,5133,341,10,7,6,11,11,5,3,8,8,3,4,5,8,2,2,9,7,3,2,5,9,10,10,5,7,9,8,6,10,7,3,5,10,9,6,4,4,6,9,2,6,10,6,4,7,6,7,11,8
17be3c5c-b57d-4be0-8220-00c1e4b7d86b,2025-03-27 19:50:17.352788+00:00,qwen,qwen-turbo,0,5129,346,10,7,3,11,11,4,5,3,8,4,4,5,7,2,3,8,4,3,4,2,9,7,8,5,7,11,10,5,9,9,4,7,9,6,4,3,6,7,10,2,6,9,6,3,8,7,8,10,8
118c7ffd-d053-4ae9-90f8-c1f6661f160b,2025-03-27 19:50:23.089568+00:00,qwen,qwen-turbo,0,5139,350,8,6,3,11,11,4,2,10,11,4,4,10,8,1,1,9,3,1,3,2,9,11,11,3,8,11,8,4,10,9,2,9,11,7,7,1,4,7,11,1,1,8,3,2,5,7,10,8,5
