cuid,created_at,provider,model,temperature,input_tokens,output_tokens,"P1. There are too many mental health services in Switzerland, and they should be reduced.","P2. There are enough mental health services in Switzerland, and funding should remain as it is.",P3. Initiatives focused on improving the socioeconomic conditions of disadvantaged people should be implemented to address mental health disparities.,P4. Private mental health clinics should receive more government funding to allow more people to access them.,P5. There should be more public awareness campaigns that empower people to seek mental health support and destigmatize help-seeking behaviors.,"P6. There should be more integrated mental health clinics that provide a range of services, such as sports or artistic activities in addition to therapy and medication","P7. There are not enough mental health services in Switzerland, so their funding should be increased."
8828b1a5-885a-40d5-8014-385697ec7329,2025-03-27 16:39:28.207405+00:00,qwen,qwen-turbo,0,2746,165,7,3,5,6,2,4,1
7bebbbb8-c761-44eb-80f9-4bd43a20270f,2025-03-27 16:39:32.181256+00:00,qwen,qwen-turbo,0,2746,166,7,6,2,3,4,5,1
af5fd1e9-de78-448a-be28-203b8af5a12c,2025-03-27 19:33:19.992983+00:00,qwen,qwen-turbo,0,2746,165,5,7,2,6,4,3,1
dbb84b5d-ac68-4669-b6cd-88b0cbdac0b1,2025-03-27 19:33:24.077088+00:00,qwen,qwen-turbo,0,2746,166,7,6,3,2,5,4,1
1758ed32-4ea7-4b84-b4a6-dd5e8dad0174,2025-03-27 19:33:28.089062+00:00,qwen,qwen-turbo,0,2746,161,1,6,7,2,3,4,5
a1e24c72-4a64-413b-8bad-7ca4f81f4cd0,2025-03-27 19:33:32.183779+00:00,qwen,qwen-turbo,0,2746,159,6,7,2,4,1,3,5
a0f18a5f-600a-42e8-b70b-a0146660ef28,2025-03-27 19:33:36.397199+00:00,qwen,qwen-turbo,0,2746,160,4,7,6,3,2,5,1
82471349-2cac-4737-8637-a6713f719fc2,2025-03-27 19:33:40.588872+00:00,qwen,qwen-turbo,0,2746,170,2,6,4,7,5,3,1
106a029d-5cc7-48e5-b351-0e8c6dfef45e,2025-03-27 19:33:47.568036+00:00,qwen,qwen-turbo,0,2746,169,5,7,2,6,3,4,1
855c8eff-f2cc-43e5-ae80-df40a159e24d,2025-03-27 19:33:51.674737+00:00,qwen,qwen-turbo,0,2746,163,3,7,1,5,2,4,6
fc70cb70-e388-4b3e-b9f0-155a8a5f8434,2025-03-27 19:33:55.682643+00:00,qwen,qwen-turbo,0,2746,166,7,6,2,3,4,5,1
c431a1f7-21f6-420b-8359-0a4276cc4780,2025-03-27 19:34:02.849287+00:00,qwen,qwen-turbo,0,2746,162,2,5,6,7,3,4,1
9087a79c-acc2-47e1-a0fd-723459aad5c4,2025-03-27 19:34:06.894755+00:00,qwen,qwen-turbo,0,2744,164,7,6,3,5,1,2,4
ef041f9e-ec10-4774-9d1b-208e29163e4f,2025-03-27 19:34:11.223305+00:00,qwen,qwen-turbo,0,2746,171,6,7,4,5,1,3,2
be9b4962-2ba2-4945-9fa5-3527a77cd965,2025-03-27 19:34:15.584150+00:00,qwen,qwen-turbo,0,2746,164,5,6,3,4,2,7,1
9ffcdb79-eb0b-4935-9b90-141430dc3b20,2025-03-27 19:34:19.610308+00:00,qwen,qwen-turbo,0,2744,162,6,5,3,7,4,2,1
5be2c52d-f253-4f37-85b2-c607684f3011,2025-03-27 19:34:23.616770+00:00,qwen,qwen-turbo,0,2746,169,5,7,4,3,1,6,2
10cfec4b-cf5a-464f-9c61-e0336001f3d1,2025-03-27 19:34:27.805095+00:00,qwen,qwen-turbo,0,2746,164,7,5,1,6,2,4,3
12e8c2c9-28d1-42e4-91fa-ea3b7398cba9,2025-03-27 19:34:31.957581+00:00,qwen,qwen-turbo,0,2746,166,7,4,1,5,6,2,3
fe6e8773-a595-4c96-8fd6-1618ad3b721c,2025-03-27 19:34:36.432720+00:00,qwen,qwen-turbo,0,2746,166,7,6,5,2,1,3,4
1bd13985-6191-4d1e-bbf9-985145fc5bc1,2025-03-27 19:34:40.499704+00:00,qwen,qwen-turbo,0,2746,162,7,6,5,3,2,4,1
7b7c188f-0e0e-47da-8c55-e3056c4f084f,2025-03-27 19:34:47.759337+00:00,qwen,qwen-turbo,0,2746,161,4,3,2,7,1,5,6
2a1625a4-17f5-4aad-b975-a1c4366a4cb2,2025-03-27 19:34:54.928055+00:00,qwen,qwen-turbo,0,2746,160,6,7,3,5,1,4,2
d4a4122f-486e-427a-b7c1-4f3aa2acade1,2025-03-27 19:34:59.135348+00:00,qwen,qwen-turbo,0,2746,164,5,7,2,4,6,1,3
d6cf7b9a-4942-49f3-9f6f-1bba6111fc5e,2025-03-27 19:35:03.336179+00:00,qwen,qwen-turbo,0,2746,166,7,5,6,3,4,2,1
6ca15d4b-d7f6-4a62-a50c-3add811f3d03,2025-03-27 19:35:07.616347+00:00,qwen,qwen-turbo,0,2746,161,7,6,1,5,2,4,3
8b1b40cd-b86b-4b0b-afc6-8671992e32bd,2025-03-27 20:01:44.939243+00:00,qwen,qwen-turbo,0,2746,164,7,5,4,2,6,3,1
ba966caa-bf8a-4ed6-bf9e-f91ac1249aa7,2025-03-27 20:01:49.160102+00:00,qwen,qwen-turbo,0,2746,160,3,6,1,7,5,4,2
9259e4c4-a0dc-448d-bbbd-b469a47f5936,2025-03-27 20:01:52.923391+00:00,qwen,qwen-turbo,0,2746,162,6,7,2,4,3,5,1
5f2d01d6-c628-42e8-b021-7e512f1f9929,2025-03-27 20:01:56.991322+00:00,qwen,qwen-turbo,0,2746,172,6,5,1,7,2,3,4
